review_id,review_text_clean,review_rating,bert_label,bert_score
R1M8G5F5LYV4AM,I got this as a gift for xmas so I can't return it. I am not happy with it though. The knives are fine. The knife block is horrible. It doesn't even look navy like the picture. Also the block has blemishes on it. For it being so expensive it should be better quality.,1,NEGATIVE,0.9904863238334656
R35VGQU2ZVKPC1,Disappointing!,1,NEGATIVE,0.9997956156730652
R1F983AK02L9R3,"The knives are beautiful, and so is the stand.",5,POSITIVE,0.9998481273651123
R3K9GIYNF1WGV3,About 5 knives from this set rusted within 2 years. I've had knives for decades that still have rusted! I would not purchase again.,1,NEGATIVE,0.9974541068077087
R1HQJCA5F41AIR,Garbage set. Stay away. Throwing away the remaining knifes that haven’t cracked completely but are on their way to match the ones already tossed.,1,NEGATIVE,0.9823393225669861
R2AWEJOWTFHGNH,The handles started splitting and falling apart within 2 years. We don’t have a dishwasher they’ve only been cleaned by hand. Not the best quality.,3,NEGATIVE,0.9992738366127014
R37C0XJPKYK3H5,I was using for two years. But today last knife did broke like pictures. All knives where stay front gone in 2 years. Other big ones still good because we do not use often that much. Handle is plastic. Maybe you can get iron or something like that stronger material.,1,NEGATIVE,0.9306812286376953
R2ARCKA4FGUNKR,"Knifes don’t retain an edge and get dull quickly. The plastic handles start cracking within months, had to throw a couple away due to the handle coming completely loose. Warranty is terrible also and only covers a broken blade not the handles.",1,NEGATIVE,0.9993866682052612
R3A4SW1KP2IZHJ,"Absolutely love these knives, super sharp. I ordered these to replace a Chicago Cutlery knife set that was over 15 years old.Steak knives slice through steaks like butter!! Highly recommend these knives. I work in food service and know a great set of knives when I see them. This comes with the hook paring knife peeler, very hard to find within a set of knives. My daughter has used them when she has been here, and cant believe how sharp they are...slicing an onion with ease. I purchased the white handled set and they look beautiful on counter.",5,POSITIVE,0.9993677735328674
R3VQAZB8ABWXJD,Colors are not accurate at all! What a let down,1,NEGATIVE,0.9998168349266052
RH8BVDMQL27VK,"Se ve un juego fuerte y excelente filo , el set pesa un poco , pero vale la pena mucho",5,NEGATIVE,0.5485330820083618
R3C9MKPAD4BIF4,"The video showcases the product in use.The video guides you through product setup.The video compares multiple products.The video shows the product being unpacked.Video Player is loading.Click to play videoPlayMuteCurrent Time0:00/Duration1:03Loaded:4.77%Stream TypeLIVESeek to live, currently behind liveLIVERemaining Time-1:031xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionsCaptions off, selectedEnglish (Automated)Audio Trackdefault, selectedFullscreenThis is a modal window.I love the knife set, I really do. The knives are sharp and beautiful and you have all the knives you need, however my disappointment is in the quality of the handles. We’ve had them for about a year and a half ago and the handles on the knives have cracked, and my scissors just broke.",3,POSITIVE,0.9633758664131165
