asin,log_price,product_rating,log_reviews,log_sales,weighted_rating,log_price_per_piece,log_bsr,bullet_count,image_count,is_fba,has_aplus,discount_rate,log_days_on_market,brand_tier_encoded,is_set,set_pieces,is_damascus,is_high_carbon,is_german_steel,is_japanese_steel,is_ceramic,is_chef_knife,is_santoku,is_steak_knife,is_cleaver,is_paring,has_block,is_professional,is_gift,blade_size_inch,bert_sentiment_mean,positive_ratio,negative_ratio,aspect_sharpness_sentiment,aspect_quality_sentiment,aspect_durability_sentiment,aspect_handle_sentiment,aspect_value_sentiment,aspect_rust_sentiment,aspect_appearance_sentiment,aspect_balance_sentiment,aspect_sentiment_mean,verified_purchase_rate,avg_helpful_votes
B0DX6Q61D5,4.174233411906258,4.5,5.82600010738045,3.9318256327243257,4.468594636697452,4.174233411906258,10.561758568708644,5,10,1,1,0.2500468847678228,0.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,7.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B0F6L7GRHZ,3.9887988442301956,4.5,3.828641396489095,0.0,4.3628271487934684,3.9887988442301956,11.32779998084354,5,10,1,1,0.4111567951994666,0.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,10.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B09N6WQ84Q,4.110709916308365,3.8,1.0986122886681098,0.0,4.196953680568902,4.110709916308365,0.0,5,9,1,1,0.4545371885797418,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,7.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B0DDQ21S4V,2.39698576841553,4.8,3.6109179126442243,0.0,4.48546105057733,1.4655675420143985,10.95280454947936,5,9,1,1,0.2500468847678228,6.278521424165844,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B07SMN6GXB,3.432372999130605,4.6,6.257667587882639,0.0,4.571342738801122,1.2515717831252149,11.682896061705152,5,10,1,1,0.2500468847678228,0.0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B0DS2HTK9N,4.3943256902608985,4.4,4.219507705176107,0.0,4.329045522431484,3.3201078299422466,11.788699416347637,5,9,1,1,0.5266583821527901,0.0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,1,1,7.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B0B295J4L2,5.20120055576831,4.5,5.834810737062605,0.0,4.468840631710266,2.5674590261198182,12.130216993226638,0,10,0,1,0.0500026317174588,0.0,0,1,15,1,0,0,0,0,1,0,0,0,0,1,0,0,7.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B0FSTF4FSN,4.077367938014984,0.0,0.0,0.0,4.215856236786469,4.077367938014984,0.0,5,9,1,1,0.5166694449074846,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B0F1XSJ9YS,5.30325515557766,4.7,6.329720905522696,3.9318256327243257,4.666222528147893,2.6625413143158463,9.805654192187365,7,10,1,1,0.2307781068502634,0.0,0,1,15,0,1,0,0,0,1,0,0,0,0,1,0,0,7.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B0FSZV7WYB,3.358289880650879,0.0,0.0,0.0,4.215856236786469,3.358289880650879,0.0,5,9,1,1,0.0089317613433369,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B0DFH6VZ5B,4.09016919081162,5.0,0.6931471805599453,0.0,4.2340921382565515,4.09016919081162,0.0,5,9,1,1,0.2500468847678228,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B0DSHYXVPN,3.7133281345162463,4.7,5.6131281063880705,0.0,4.635447498238196,3.7133281345162463,11.933469643624333,5,10,0,1,0.2500468847678228,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,9.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B0DJGDXWBW,5.525413097700675,4.6,4.634728988229636,0.0,4.48795806906272,3.6031270245770366,11.850283023863716,5,10,1,1,0.2500468847678228,0.0,0,1,7,1,1,0,0,0,0,0,0,0,0,1,1,0,7.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B0DG9Y57NY,2.605648267484129,4.7,4.343805421853684,5.993961427306569,4.5276776436019635,1.9837562915454279,9.882417121916836,4,6,0,1,0.7440293937538274,0.0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B09DKSJ7JF,3.849934813114724,4.7,5.598421958998375,0.0,4.634617240980809,1.4551205520497432,11.499850357082506,5,10,0,1,0.5445632798573975,0.0,0,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,7.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B0CW3FZR24,2.301584592660462,4.6,5.135798437050262,3.9318256327243257,4.523535364668397,2.301584592660462,10.57341728191989,5,3,0,1,0.2500468847678228,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B07P46SQPW,3.5550623063795967,4.7,8.130942302231878,5.303304908059076,4.694087223595532,3.5550623063795967,8.73568594451502,5,10,0,1,0.2500468847678228,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,6.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B0DM83MFMC,4.222297926532561,0.0,0.0,0.0,4.215856236786469,4.222297926532561,0.0,5,9,1,1,0.3071767374716437,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B09SB8F3FD,3.3028492586443794,4.3,1.3862943611198906,0.0,4.221465821000705,3.3028492586443794,0.0,5,9,1,1,0.2500468847678228,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B084G8Y5M4,2.5641798306825083,4.5,7.773594467360194,6.90875477931522,4.495064500390832,2.5641798306825083,8.666302614004078,8,10,1,1,0.2947058823529411,0.0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B0DSJ36HHZ,3.7133281345162463,4.7,5.6131281063880705,0.0,4.635447498238196,3.7133281345162463,11.933351432551758,5,10,1,1,0.1228339548146523,0.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,8.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B0DM7XB86G,3.891412051524022,0.0,0.0,0.0,4.215856236786469,3.891412051524022,0.0,5,9,1,1,0.5637388616112021,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B0DM84Y4XT,4.5107496103686,0.0,0.0,0.0,4.215856236786469,4.5107496103686,0.0,5,9,1,1,0.3999866648886518,0.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,7.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B0FCXWCXY4,4.6150215020384655,4.7,5.991464547107982,3.9318256327243257,4.653891070170141,3.2580003795522505,11.075520672568887,5,10,1,1,0.2500468847678228,0.0,0,1,4,0,1,0,0,0,1,0,0,0,0,0,0,1,7.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B09797QVT9,3.260017768199376,4.5,2.0794415416798357,0.0,4.256448202959831,3.260017768199376,0.0,5,9,1,1,0.2500468847678228,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,7.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B07W85ND8W,3.2577118486533987,4.7,7.122059881629142,4.61512051684126,4.684114032769556,3.2577118486533987,9.684211512748407,5,10,1,1,0.1667222407469156,0.0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,5.5,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B0C2Z6L1XB,3.2954664270299134,4.6,5.968707559985366,4.61512051684126,4.562652689687573,3.2954664270299134,10.582332948385213,5,10,1,1,0.2500468847678228,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B0CG8WC1BV,4.795459912431223,4.6,5.905361848054571,3.9318256327243257,4.56045578908096,2.196928237135503,10.127071007078722,6,10,1,1,0.2943114300841227,0.0,0,1,15,0,1,0,0,0,0,0,0,0,0,1,0,0,7.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
B07P46QB4K,3.2917544702807735,4.6,6.821107472256465,0.0,4.58315862415974,3.2917544702807735,11.028595705008202,5,10,0,1,0.300081103000811,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.40588235294117647,0.3333333333333333,0.3877414584856731,0.9,0.1
