transaction_id,items
B0DX6Q61D5,has_aplus=1|is_fba=1|knife_type=chef|knife_type=cleaver|knife_type=nakiri|material=high_carbon|material=powder_steel|price_tier=1|rating>=4.5|sales<100
B0F6L7GRHZ,has_aplus=1|is_fba=1|knife_type=carving|knife_type=chef|material=damascus|material=high_carbon|material=stainless|price_tier=1|rating>=4.5
B09N6WQ84Q,has_aplus=1|is_fba=1|knife_type=bread|knife_type=carving|knife_type=chef|knife_type=cleaver|material=high_carbon|material=stainless|price_tier=1|rating<4.0
B0DDQ21S4V,has_aplus=1|is_fba=1|knife_type=set|price_tier=0|rating>=4.5
B07SMN6GXB,has_aplus=1|is_fba=1|knife_type=bread|knife_type=chef|knife_type=paring|knife_type=santoku|knife_type=set|knife_type=utility|material=stainless|price_tier=0|rating>=4.5
B0DS2HTK9N,has_aplus=1|is_fba=1|knife_type=chef|knife_type=paring|knife_type=santoku|knife_type=set|material=carbon_steel|material=high_carbon|material=stainless|price_tier=1|rating=4.0-4.5
B0B295J4L2,has_aplus=1|knife_type=block|knife_type=carving|knife_type=chef|knife_type=set|material=damascus|price_tier=2|rating>=4.5
B0FSTF4FSN,has_aplus=1|is_fba=1|knife_type=bread|knife_type=chef|material=carbon_steel|material=stainless|price_tier=1|rating<4.0
B0F1XSJ9YS,has_aplus=1|is_fba=1|knife_type=block|knife_type=boning|knife_type=bread|knife_type=chef|knife_type=paring|knife_type=santoku|knife_type=set|knife_type=steak|knife_type=utility|material=high_carbon|material=stainless|price_tier=2|rating>=4.5|sales<100
B0FSZV7WYB,has_aplus=1|is_fba=1|knife_type=bread|knife_type=santoku|material=carbon_steel|material=stainless|price_tier=0|rating<4.0
B0DFH6VZ5B,has_aplus=1|is_fba=1|knife_type=boning|knife_type=nakiri|material=damascus|material=stainless|price_tier=1|rating>=4.5
B0DSHYXVPN,has_aplus=1|knife_type=bread|knife_type=chef|material=damascus|material=high_carbon|material=stainless|price_tier=1|rating>=4.5
B0DJGDXWBW,has_aplus=1|is_fba=1|knife_type=block|knife_type=carving|knife_type=chef|knife_type=paring|knife_type=santoku|knife_type=set|knife_type=utility|material=carbon_steel|material=damascus|material=high_carbon|material=stainless|material=vg10|price_tier=3|rating>=4.5
B0DG9Y57NY,has_aplus=1|knife_type=paring|knife_type=set|knife_type=utility|material=stainless|price_tier=0|rating>=4.5|sales=100-999
B09DKSJ7JF,has_aplus=1|knife_type=bread|knife_type=carving|knife_type=chef|knife_type=paring|knife_type=set|knife_type=steak|knife_type=utility|material=high_carbon|material=stainless|price_tier=1|rating>=4.5
B0CW3FZR24,has_aplus=1|knife_type=bread|knife_type=chef|knife_type=paring|knife_type=set|material=high_carbon|material=stainless|price_tier=0|rating>=4.5|sales<100
B07P46SQPW,has_aplus=1|knife_type=boning|knife_type=chef|knife_type=fillet|material=damascus|material=high_carbon|material=stainless|price_tier=1|rating>=4.5|sales=100-999
B0DM83MFMC,has_aplus=1|is_fba=1|knife_type=boning|knife_type=cleaver|knife_type=fillet|material=german_steel|material=stainless|price_tier=1|rating<4.0
B09SB8F3FD,has_aplus=1|is_fba=1|knife_type=nakiri|knife_type=utility|material=damascus|material=stainless|price_tier=0|rating=4.0-4.5
B084G8Y5M4,has_aplus=1|is_fba=1|knife_type=chef|material=stainless|price_tier=0|rating>=4.5|sales>=1000
B0DSJ36HHZ,has_aplus=1|is_fba=1|knife_type=bread|knife_type=chef|knife_type=santoku|material=damascus|material=high_carbon|material=stainless|price_tier=1|rating>=4.5
B0DM7XB86G,has_aplus=1|is_fba=1|knife_type=boning|knife_type=carving|material=damascus|material=stainless|price_tier=1|rating<4.0
B0DM84Y4XT,has_aplus=1|is_fba=1|knife_type=chef|knife_type=utility|material=carbon_steel|material=damascus|material=stainless|material=vg10|price_tier=2|rating<4.0
