keyword_id,product_id,search_rank,is_sponsored,is_best_seller,is_amazon_choice
mccook knife,B0DKMF9N4S,2,1,0,0
mccook knife,B0FJ1M2J1S,3,1,0,0
mccook knife,B0F72WYX9R,5,1,0,0
mccook knife,B0D9KYN8XH,13,1,0,0
mccook knife,B095PG6S8F,14,1,0,0
mccook knife,B0DP9TF9ZB,20,1,0,0
mccook knife,B09SZ1LC36,21,1,0,0
mccook knife,B0F734G1ML,49,1,0,0
mccook knife,B0DSP9ZJVG,50,1,0,0
mccook knife,B0FV8KV1K7,51,1,0,0
mccook knife,B0D41MKGZ5,52,1,0,0
mccook knife,B0C6QKW4SM,60,1,0,0
mccook knife,B0FMH2Q911,62,1,0,0
mccook knife,B0D2HNGPGV,67,1,0,0
mccook knife,B08CK2HHZY,68,1,0,0
mccook knife,B0FHQ2S63C,69,1,0,0
mccook knife,B0FG2S91V1,70,1,0,0
mccook knife,B0DLXK9PHN,94,0,0,0
mccook knife,B0CCS4N5Y6,98,1,0,0
mccook knife,B0CYNCD8ZR,107,1,0,0
mccook knife,B0GD6Q5JRJ,117,1,0,0
mccook knife,B0DKMH6QMP,145,1,0,0
mccook knife,B0CJ4X88K2,147,1,0,0
mccook knife,B0FSRWLLFB,148,1,0,0
mccook knife,B0CXY2LNJY,155,1,0,0
mccook knife,B0DGQLGFW7,157,1,0,0
mccook knife,B0CV4B6Y7C,163,1,0,0
mccook knife set,B0FMG2Z3TZ,2,1,0,0
mccook knife set,B0FR39RVYS,4,1,0,0
mccook knife set,B0DKPD61BQ,14,1,0,0
mccook knife set,B0FN3NJ8JT,15,1,0,0
mccook knife set,B0FY2TH4YM,22,1,0,0
mccook knife set,B0BWYH3D6G,24,0,0,0
mccook knife set,B0FNC9LVLQ,51,1,0,0
mccook knife set,B0F8VDDW8F,68,1,0,0
mccook knife set,B0B41Z8Q9B,85,0,0,0
mccook knife set,B0FNR69Y2D,97,1,0,0
mccook knife set,B0FN3BKD2S,116,1,0,0
mccook knife set,B0CL4FRXL3,117,1,0,0
mccook knife set,B0DHX4KL9F,163,1,0,0
mccook knife set,B09MVWT85R,204,1,0,0
mccook knife set,B0FQBQM676,206,1,0,0
mccook knife set,B0F32V5H6J,211,1,0,0
mccook knife set,B0CDNYGWN5,213,1,0,0
mccook knife set,B08SBF774C,230,0,0,0
mccook kitchen knife,B0F1XDZY82,1,1,0,0
mccook kitchen knife,B0D4CWNSHC,12,1,0,0
mccook kitchen knife,B0B3DM77BQ,13,1,0,0
mccook kitchen knife,B0D41LZ8YT,21,1,0,0
mccook kitchen knife,B0DQ7ZHH31,29,1,0,0
mccook kitchen knife,B0C1BQTQKL,30,1,0,0
mccook kitchen knife,B0FJF65WFZ,36,0,0,0
mccook kitchen knife,B0CN6KZF47,52,1,0,0
mccook kitchen knife,B0D666F3ZT,61,1,0,0
mccook kitchen knife,B0D58K9X77,69,1,0,0
mccook kitchen knife,B0FP28Y6W5,108,1,0,0
mccook kitchen knife,B0FKRQSSG8,116,1,0,0
mccook kitchen knife,B0FNQV86F7,117,1,0,0
