product_id,material_id,source,confidence
B0DX6Q61D5,powder_steel,title,1.0
B0DX6Q61D5,high_carbon,title,1.0
B0F6L7GRHZ,high_carbon,title,1.0
B0F6L7GRHZ,stainless,title,1.0
B0F6L7GRHZ,damascus,bullet_points_text,0.8
B09N6WQ84Q,high_carbon,bullet_points_text,0.8
B09N6WQ84Q,stainless,bullet_points_text,0.8
B07SMN6GXB,stainless,bullet_points_text,0.8
B0DS2HTK9N,high_carbon,bullet_points_text,0.8
B0DS2HTK9N,carbon_steel,bullet_points_text,0.8
B0DS2HTK9N,stainless,bullet_points_text,0.8
B0B295J4L2,damascus,title,1.0
B0FSTF4FSN,carbon_steel,bullet_points_text,0.8
B0FSTF4FSN,stainless,bullet_points_text,0.8
B0F1XSJ9YS,high_carbon,title,1.0
B0F1XSJ9YS,stainless,title,1.0
B0FSZV7WYB,carbon_steel,bullet_points_text,0.8
B0FSZV7WYB,stainless,bullet_points_text,0.8
B0DFH6VZ5B,damascus,bullet_points_text,0.8
B0DFH6VZ5B,stainless,bullet_points_text,0.8
B0DSHYXVPN,high_carbon,title,1.0
B0DSHYXVPN,stainless,title,1.0
B0DSHYXVPN,damascus,bullet_points_text,0.8
B0DJGDXWBW,vg10,title,1.0
B0DJGDXWBW,damascus,title,1.0
B0DJGDXWBW,stainless,title,1.0
B0DJGDXWBW,high_carbon,bullet_points_text,0.8
B0DJGDXWBW,carbon_steel,bullet_points_text,0.8
B0DG9Y57NY,stainless,title,1.0
B09DKSJ7JF,stainless,title,1.0
B09DKSJ7JF,high_carbon,bullet_points_text,0.8
B0CW3FZR24,stainless,title,1.0
B0CW3FZR24,high_carbon,bullet_points_text,0.8
B07P46SQPW,high_carbon,title,1.0
B07P46SQPW,stainless,title,1.0
B07P46SQPW,damascus,bullet_points_text,0.8
B0DM83MFMC,german_steel,bullet_points_text,0.8
B0DM83MFMC,stainless,bullet_points_text,0.8
B09SB8F3FD,damascus,bullet_points_text,0.8
B09SB8F3FD,stainless,bullet_points_text,0.8
B084G8Y5M4,stainless,title,1.0
B0DSJ36HHZ,high_carbon,title,1.0
B0DSJ36HHZ,stainless,title,1.0
B0DSJ36HHZ,damascus,bullet_points_text,0.8
B0DM7XB86G,damascus,bullet_points_text,0.8
B0DM7XB86G,stainless,bullet_points_text,0.8
B0DM84Y4XT,damascus,title,1.0
B0DM84Y4XT,vg10,bullet_points_text,0.8
B0DM84Y4XT,carbon_steel,bullet_points_text,0.8
B0DM84Y4XT,stainless,bullet_points_text,0.8
B0FCXWCXY4,high_carbon,title,1.0
B0FCXWCXY4,stainless,title,1.0
B07W85ND8W,german_steel,title,1.0
B07W85ND8W,high_carbon,title,1.0
B0C2Z6L1XB,stainless,title,1.0
B0CG8WC1BV,high_carbon,title,1.0
B0CG8WC1BV,stainless,title,1.0
B0CG8WC1BV,carbon_steel,bullet_points_text,0.8
B07P46QB4K,stainless,title,1.0
B07P46QB4K,german_steel,bullet_points_text,0.8
B0C77KYXKK,high_carbon,title,1.0
B0C77KYXKK,stainless,title,1.0
B0CTK42ZNP,damascus,title,1.0
B0CTK42ZNP,vg10,bullet_points_text,0.8
B07TWRGXMG,high_carbon,title,1.0
B07TWRGXMG,carbon_steel,title,1.0
B0DM9K3ZQQ,damascus,bullet_points_text,0.8
B0DM9K3ZQQ,high_carbon,bullet_points_text,0.8
B0DM9K3ZQQ,stainless,bullet_points_text,0.8
B09N7CPC5B,damascus,bullet_points_text,0.8
B09N7CPC5B,high_carbon,bullet_points_text,0.8
B09N7CPC5B,stainless,bullet_points_text,0.8
B0CFSTGQ34,stainless,title,1.0
B0CFSTGQ34,high_carbon,description_clean,0.6
B0F53T1C9V,high_carbon,title,1.0
B0F53T1C9V,stainless,title,1.0
B0F53T1C9V,carbon_steel,bullet_points_text,0.8
B099S2DB85,high_carbon,title,1.0
B099S2DB85,stainless,title,1.0
B0C37GLKHZ,high_carbon,bullet_points_text,0.8
B0C37GLKHZ,stainless,bullet_points_text,0.8
B0FWQV72CL,high_carbon,bullet_points_text,0.8
B0FWQV72CL,stainless,bullet_points_text,0.8
B0DLZDWWCM,damascus,title,1.0
B0DLZDWWCM,high_carbon,title,1.0
B0DLZDWWCM,carbon_steel,title,1.0
B0DLZDWWCM,german_steel,bullet_points_text,0.8
B0DLZDWWCM,stainless,bullet_points_text,0.8
B00GIBKCGC,stainless,bullet_points_text,0.8
B00GIBKCGC,high_carbon,description_clean,0.6
B0DGB59ZT9,stainless,title,1.0
B0FL9DZ9HV,stainless,title,1.0
B09BQV3XNF,high_carbon,title,1.0
B09BQV3XNF,stainless,title,1.0
B0CG2BFKDM,stainless,title,1.0
B09NN1FHJG,damascus,title,1.0
B09NN1FHJG,vg10,bullet_points_text,0.8
B0C6X91FCZ,high_carbon,title,1.0
B0C6X91FCZ,stainless,title,1.0
B0CMZ7N6Z8,high_carbon,title,1.0
B0CMZ7N6Z8,stainless,title,1.0
B09N7FCX8W,high_carbon,bullet_points_text,0.8
B09N7FCX8W,stainless,bullet_points_text,0.8
B0C8HXRQN7,carbon_steel,title,1.0
B0C8HXRQN7,high_carbon,bullet_points_text,0.8
B0C8HXRQN7,stainless,bullet_points_text,0.8
B09793FKG8,stainless,bullet_points_text,0.8
B0CFXWNSP8,vg10,title,1.0
B0CFXWNSP8,damascus,title,1.0
B0CFXWNSP8,carbon_steel,bullet_points_text,0.8
B0CWH4MF7W,high_carbon,title,1.0
B0CWH4MF7W,stainless,title,1.0
