product_id,title,price_num,discount_rate,product_rating,product_rating_count,bsr_category_norm,best_subcat_name,best_subcat_rank,bsr_rank,is_fba,has_aplus,image_count,bullet_count,bought_count_number_clean
B0DX6Q61D5,"HOSHANHO 7 Inch Nakiri Knife, Japanese High Carbon Powder Steel Vegetable Cleaver Knife for Chopping, Razor Sharp Multipurpose Asian Chef Knife with Ergonomic Handle",63.99,,4.5,338,kitchen & dining,,,38628.0,1,1,10,5,50.0
B0F6L7GRHZ,"PAUDIN Chef Knife, 10 Inch Meat Knife, Ultra Sharp Brisket Slicing Knives, High Carbon Stainless Steel Kitchen Knife with Ergonomic Handle for BBQ, Roast, Meats and Vegetables",52.99,0.4111567951994666,4.5,45,kitchen & dining,,,83099.0,1,1,10,5,
B09N6WQ84Q,PAUDIN Cleaver Knife + Chef Knife,59.99,0.4545371885797418,3.8,2,,,,,1,1,9,5,
B0DDQ21S4V,"PATIKIL ABS Knife Cover Sleeves for 6"" Kitchen Knife, 3 Pcs Knives Edge Guard Blade Protector Universal Knife Sheath for Home Kitchen, Black",9.99,,4.8,36,kitchen & dining,"Knife Cases, Holders & Protectors",76.0,57113.0,1,1,9,5,
B07SMN6GXB,Cuisinart Advantage 12-Piece Gray Knife Set with Blade Guards C55-12PCG,29.95,,4.6,521,kitchen & dining,,,118526.0,1,1,10,5,
B0DS2HTK9N,"HOSHANHO 3 Pieces Knife Set, Ultra-Sharp Japanese Super Steel Kithen Knives Set, Professional Chef Knife Set with Ergonomic Wooden Handle & Gift Box",79.99,0.5266583821527901,4.4,67,kitchen & dining,,,131754.0,1,1,9,5,
B0B295J4L2,"Knife Set, NANFANG BROTHERS 15-Piece Damascus Kitchen Knife Set with Block, ABS Ergonomic Handle for Chef Knife Set, Carving Fork, Disconnect-type Knife Block Set",180.49,0.0500026317174588,4.5,341,kitchen & dining,,,185389.0,0,1,10,0,
B0FSTF4FSN,"PAUDIN Bread Knife 8"" + Bread Knife 10""",57.99,0.5166694449074846,0.0,0,,,,,1,1,9,5,
B0F1XSJ9YS,"Knife Set, 15 Pcs Kitchen Knife Block Set, Enduring Razor-Sharp Japanese High Carbon Stainless Steel Chef Knife Set with Block and Sharpener, Premium Knives Set for Kitchen, Black Natural Wood",199.99,0.2307781068502634,4.7,560,kitchen & dining,,,18135.0,1,1,10,7,50.0
B0FSZV7WYB,"PAUDIN Bread Knife 10"" + Santoku Knife 7""",27.74,0.0089317613433369,0.0,0,,,,,1,1,9,5,
B0DFH6VZ5B,PAUDIN Nakiri Knife 7 Inch and Boning Knife 6 Inch,58.75,,5.0,1,,,,,1,1,9,5,
B0DSHYXVPN,"PAUDIN Chef Knife - 9 Inch Sharp Kitchen Knife with Sheath, High Carbon Stainless Steel Japanese cooking knives with Ergonomic Handle, Premium Gift Box",39.99,,4.7,273,kitchen & dining,,,152278.0,0,1,10,5,
B0DJGDXWBW,Sunnecko Damascus Kitchen Knife Set - Sharp Kitchen Knife Set of 7pcs with Japanese Damascus Steel VG10 - Professional Kitchen Knife Block Set with Full-tang Stainless Steel Handle,249.99,,4.6,102,kitchen & dining,,,140123.0,1,1,10,5,
B0DG9Y57NY,"Cuisinart 2-Piece Utility Pairing Stainless Steel Knife Set, includes 5.5"" Serrated Utility and 3.5"" Pairing Knife",12.54,0.7440293937538274,4.7,76,kitchen & dining,,,19582.0,0,1,6,4,400.0
B09DKSJ7JF,"D.Perlla Knife Set, 14 Pieces Kitchen Knife Set with Clear Acrylic Knife Holder, Stainless Steel Super Sharp Chef Knife with Hollow Handle in One Piece Design",45.99,0.5445632798573975,4.7,269,kitchen & dining,,,98700.0,0,1,10,5,
B0CW3FZR24,Paring Knife Peeling Fruit Vegetable Cutting Meat Slicing Kitchen Knives Stainless Steel Ultra Sharp Blade Wooden Ergonomic Handle,8.99,,4.6,169,kitchen & dining,,,39081.0,0,1,3,5,50.0
B07P46SQPW,"PAUDIN Boning Knife 6 Inch, Super Sharp Fillet Knife, German High Carbon Stainless Steel Deboning Knives, Professional Boning Knives for Meat Poultry Chicken, Pakkawood Handle with Gift Box",33.99,,4.7,3397,kitchen & dining,,,6220.0,0,1,10,5,200.0
B0DM83MFMC,PAUDIN Fillet Knife + Cleaver Knife,67.19,0.3071767374716437,0.0,0,,,,,1,1,9,5,
B09SB8F3FD,PAUDIN Nakiri Knife and Kitchen Utility Knife,26.19,,4.3,3,,,,,1,1,9,5,
B084G8Y5M4,"HENCKELS Solution Razor-Sharp 4-inch Compact Chef Knife, German Engineered Informed by 100+ Years of Mastery, Black/Stainless Steel",11.99,0.2947058823529411,4.5,2376,kitchen & dining,,,5803.0,1,1,10,8,1000.0
B0DSJ36HHZ,"PAUDIN Chef Knife, Sharp High Carbon Stainless Steel Kitchen Knife with Sheath, 8 Inch Professional Santoku knives with Ergonomic Pakkawood Handle, Japanese Chopping Knifes Premium Gift Box",39.99,0.1228339548146523,4.7,273,kitchen & dining,,,152260.0,1,1,10,5,
B0DM7XB86G,PAUDIN Brisket Knife + Boning Knife,47.98,0.5637388616112021,0.0,0,,,,,1,1,9,5,
B0DM84Y4XT,PAUDIN Damascus Chef Knife + Utility Knife,89.99,0.3999866648886518,0.0,0,,,,,1,1,9,5,
B0FCXWCXY4,"PAUDIN Kitchen Knife Set, 4 Pieces Chef Knife Set, High Carbon Stainless Steel Knife Set, Ultra-Sharp Knives Set for Kitchen with Ergonomic Wooden Handle, Gifts for Men and Women",99.99,,4.7,399,kitchen & dining,,,64570.0,1,1,10,5,50.0
B09797QVT9,"PAUDIN Chef Knife, Kitchen Utility Knife and Paring Knife",25.05,,4.5,7,,,,,1,1,9,5,
B07W85ND8W,"Cutluxe Kitchen Utility Knife, 5.5"" Paring Kitchen Knife – Razor Sharp Blade, High Carbon German Steel, Full Tang Ergonomic Handle Design – Artisan Series",24.99,0.1667222407469156,4.7,1238,kitchen & dining,,,16061.0,1,1,10,5,100.0
B0C2Z6L1XB,"MAD SHARK 5 Inch Ultra Sharp Paring Knife, German Stainless Steel, Ergonomic Handle Design, Chopping Knife for Precise Cutting, Peeling, Slicing",25.99,,4.6,390,kitchen & dining,,,39431.0,1,1,10,5,100.0
B0CG8WC1BV,"Knife Set, 15 Pcs Kitchen Knife Block Sets with Sharpener, Japanese High Carbon Stainless Steel Set of Knives, Premium Razor Sharp Black Knives Set with Block for Kitchen, Ergonomic Handle",119.96,0.2943114300841227,4.6,366,kitchen & dining,,,25010.0,1,1,10,6,50.0
