asin,painpoint_norm,mention_n,pos_n,neg_n,avg_score,neg_ratio,pos_ratio
B000PS2XI4,handle_comfort,3,3,0,1.0,0.0,1.0
B000PS2XI4,overall_quality,1,1,0,1.0,0.0,1.0
B000PS2XI4,rust_resistance,3,3,0,1.0,0.0,1.0
B000PS2XI4,sharpness,6,6,0,1.0,0.0,1.0
B000PS2XI4,value_for_money,5,5,0,1.0,0.0,1.0
B004OC1PQI,appearance_finish,5,5,0,1.0,0.0,1.0
B004OC1PQI,balance_weight,3,2,1,0.3333333333333333,0.3333333333333333,0.6666666666666666
B004OC1PQI,durability,3,2,1,0.3333333333333333,0.3333333333333333,0.6666666666666666
B004OC1PQI,handle_comfort,6,4,2,0.3333333333333333,0.3333333333333333,0.6666666666666666
B004OC1PQI,overall_quality,3,2,1,0.3333333333333333,0.3333333333333333,0.6666666666666666
B004OC1PQI,rust_resistance,1,1,0,1.0,0.0,1.0
B004OC1PQI,sharpness,6,5,1,0.6666666666666666,0.16666666666666666,0.8333333333333334
B004OC1PQI,value_for_money,4,2,2,0.0,0.5,0.5
B007RWD11Y,appearance_finish,14,7,6,0.07142857142857142,0.42857142857142855,0.5
B007RWD11Y,balance_weight,6,2,3,-0.16666666666666666,0.5,0.3333333333333333
B007RWD11Y,durability,9,4,4,0.0,0.4444444444444444,0.4444444444444444
B007RWD11Y,handle_comfort,20,3,16,-0.65,0.8,0.15
B007RWD11Y,overall_quality,16,6,10,-0.25,0.625,0.375
B007RWD11Y,rust_resistance,28,0,28,-1.0,1.0,0.0
B007RWD11Y,sharpness,20,8,12,-0.2,0.6,0.4
B007RWD11Y,value_for_money,22,9,13,-0.18181818181818182,0.5909090909090909,0.4090909090909091
B00FLQ4EE6,appearance_finish,13,9,4,0.38461538461538464,0.3076923076923077,0.6923076923076923
B00FLQ4EE6,balance_weight,4,4,0,1.0,0.0,1.0
B00FLQ4EE6,durability,10,7,3,0.4,0.3,0.7
B00FLQ4EE6,handle_comfort,13,9,4,0.38461538461538464,0.3076923076923077,0.6923076923076923
B00FLQ4EE6,overall_quality,8,6,2,0.5,0.25,0.75
B00FLQ4EE6,rust_resistance,6,5,1,0.6666666666666666,0.16666666666666666,0.8333333333333334
B00FLQ4EE6,sharpness,53,38,15,0.4339622641509434,0.2830188679245283,0.7169811320754716
B00FLQ4EE6,value_for_money,15,12,3,0.6,0.2,0.8
B00GHX5HGG,appearance_finish,6,2,4,-0.3333333333333333,0.6666666666666666,0.3333333333333333
B00GHX5HGG,balance_weight,3,2,1,0.3333333333333333,0.3333333333333333,0.6666666666666666
