asin,sample_review_n,avg_review_rating_sample,review_rating_std_sample,verified_ratio,helpful_sum,helpful_mean,has_text_ratio,avg_text_len,first_review_date,last_review_date,scrape_cap_10_flag,scrape_cap_100_flag,brand,brand_norm,price_num,bsr_rank,is_fba,has_aplus,image_count,best_subcat_rank,best_subcat_name,bought_count_number_clean
B000PS2XI4,10,4.9,0.31622776601683794,1.0,0,0.0,1.0,204.6,2026-01-06,2026-01-08,1,0,Mercer Culinary,mercer culinary,20.05,111.0,True,True,9,1.0,Bread Knives,
B004OC1PQI,10,4.2,1.4757295747452437,0.8,11,1.1,1.0,379.5,2025-07-05,2026-01-10,1,0,Chicago Cutlery,chicago cutlery,54.02,25957.0,True,True,10,,,100.0
B007RWD11Y,100,2.87,1.812721599131978,0.97,46,0.46,1.0,132.57,2025-06-21,2026-01-12,0,1,Farberware,farberware,33.99,8742.0,True,True,10,,,1000.0
B00FLQ4EE6,100,4.28,1.3712782505399987,0.96,61,0.61,1.0,118.36,2025-06-07,2026-01-13,0,1,Cuisinart,cuisinart,39.08,6319.0,True,True,9,,,1000.0
B00GHX5HGG,50,3.56,1.655664365080048,0.96,8,0.16,1.0,211.04,2025-12-21,2026-01-14,0,0,HENCKELS,henckels,149.99,1716.0,True,True,10,,,7000.0
B00N9HWFLS,10,4.3,1.2516655570345725,1.0,3,0.3,1.0,284.0,2025-10-16,2026-01-08,1,0,Cuisinart,cuisinart,29.23,12306.0,False,True,8,,,500.0
B00R3Z3ZF2,10,3.7,1.766981104093143,1.0,3,0.3,1.0,102.5,2025-10-10,2026-01-07,1,0,Amazon Basics,amazon basics,52.01,21388.0,True,True,10,,,100.0
B00R3Z49G6,100,3.82,1.647649075121118,0.99,105,1.05,1.0,155.81,2025-05-25,2026-01-05,0,1,Amazon Basics,amazon basics,28.49,1587.0,True,True,10,,,5000.0
B01ALYD1WI,40,3.0,1.739436985245808,0.75,20,0.5,0.975,178.5,2025-09-15,2026-01-12,0,0,Cuisinart,cuisinart,89.95,2802.0,True,True,10,,,2000.0
B01B3GARVG,100,4.55,1.0187633620614691,0.92,71,0.71,1.0,141.67,2025-01-18,2026-01-13,0,1,Amazon Basics,amazon basics,20.79,2887.0,False,True,10,,,2000.0
B01DDBJF12,100,4.51,1.12362148988227,0.89,20,0.2,1.0,119.77,2025-11-26,2026-01-12,0,1,imarku,imarku,30.02,1987.0,True,True,10,,,5000.0
B01DUT3QQW,9,3.4444444444444446,1.8782379449307742,1.0,0,0.0,1.0,190.55555555555554,2025-12-18,2026-01-11,0,0,Cuisinart,cuisinart,13.39,9147.0,True,True,5,,,100.0
B01DUT3QSU,1,5.0,,1.0,0,0.0,1.0,5.0,2026-01-09,2026-01-09,0,0,Cuisinart,cuisinart,29.95,9142.0,True,True,5,,,100.0
B073J61P62,100,4.01,1.5472034073897276,0.9,84,0.84,1.0,153.49,2025-12-09,2026-01-14,0,1,McCook,mccook,125.99,140.0,True,True,10,,,4000.0
B074T6C4YS,10,4.2,1.3165611772087666,0.8,3,0.3,1.0,102.3,2025-07-13,2026-01-06,1,0,MICHELANGELO,michelangelo,19.98,76501.0,True,True,10,,,100.0
B07BJZ8WSP,12,4.333333333333333,1.0730867399773196,1.0,2,0.16666666666666666,1.0,155.83333333333334,2025-12-16,2026-01-11,0,0,KYOKU,kyoku,76.99,12184.0,True,True,10,,,500.0
B07BK4YVB3,12,4.666666666666667,0.6513389472789296,0.8333333333333334,0,0.0,1.0,121.91666666666667,2025-12-28,2026-01-12,0,0,PAUDIN,paudin,25.05,4190.0,False,True,10,,,5000.0
B07BN5MZBW,10,3.7,1.4944341180973264,0.9,1,0.1,1.0,105.7,2025-12-14,2026-01-03,1,0,HENCKELS,henckels,78.97,8044.0,True,True,9,,,
B07BZD6HFZ,10,4.4,0.8432740427115678,1.0,1,0.1,1.0,76.4,2025-11-27,2026-01-05,1,0,Moss & Stone,moss & stone,27.99,15706.0,True,True,9,,,
B07GH3KQS5,100,3.75,1.6291225871739683,0.93,30,0.3,1.0,165.03,2024-03-08,2026-01-12,0,1,Wanbasion,wanbasion,19.99,39198.0,False,True,10,,,200.0
B07H6WGWMD,10,4.0,1.632993161855452,0.8,0,0.0,1.0,259.4,2025-12-02,2026-01-11,1,0,Emojoy,emojoy,65.48,76053.0,True,True,10,,,100.0
