asin,week_start,week_review_n,week_avg_review_rating,week_verified_ratio,week_helpful_sum,week_avg_text_len
B000PS2XI4,2026-01-05,10,4.9,1.0,0,204.6
B004OC1PQI,2025-06-30,1,5.0,1.0,7,1462.0
B004OC1PQI,2025-07-14,1,5.0,1.0,2,975.0
B004OC1PQI,2025-08-11,1,5.0,1.0,0,163.0
B004OC1PQI,2025-09-15,1,5.0,1.0,0,479.0
B004OC1PQI,2025-09-22,1,2.0,1.0,2,200.0
B004OC1PQI,2025-10-20,1,5.0,1.0,0,5.0
B004OC1PQI,2025-12-29,2,3.0,0.5,0,106.0
B004OC1PQI,2026-01-05,2,4.5,0.5,0,149.5
B007RWD11Y,2025-06-16,1,2.0,1.0,0,125.0
B007RWD11Y,2025-06-23,1,1.0,1.0,0,13.0
B007RWD11Y,2025-06-30,2,3.0,1.0,1,132.5
B007RWD11Y,2025-07-07,4,2.25,0.75,5,154.25
B007RWD11Y,2025-07-14,1,1.0,1.0,1,215.0
B007RWD11Y,2025-07-21,2,3.0,1.0,2,108.0
B007RWD11Y,2025-07-28,4,2.5,1.0,0,115.5
B007RWD11Y,2025-08-04,2,2.0,1.0,2,90.0
B007RWD11Y,2025-08-11,2,5.0,1.0,1,100.0
B007RWD11Y,2025-08-25,3,1.6666666666666667,1.0,0,29.666666666666668
B007RWD11Y,2025-09-01,1,1.0,1.0,0,27.0
B007RWD11Y,2025-09-08,3,1.3333333333333333,1.0,3,166.33333333333334
B007RWD11Y,2025-09-22,1,1.0,1.0,1,160.0
B007RWD11Y,2025-09-29,2,2.5,1.0,11,528.5
B007RWD11Y,2025-10-06,4,2.5,1.0,1,266.75
B007RWD11Y,2025-10-13,2,4.0,1.0,2,137.5
B007RWD11Y,2025-10-20,3,1.6666666666666667,1.0,1,76.66666666666667
B007RWD11Y,2025-11-03,3,1.0,1.0,2,95.0
B007RWD11Y,2025-11-10,6,2.3333333333333335,1.0,8,227.16666666666666
B007RWD11Y,2025-11-17,5,2.0,0.8,1,146.2
B007RWD11Y,2025-11-24,7,2.7142857142857144,1.0,3,236.57142857142858
B007RWD11Y,2025-12-01,7,4.428571428571429,1.0,1,98.14285714285714
B007RWD11Y,2025-12-08,6,3.0,1.0,0,104.5
B007RWD11Y,2025-12-15,5,3.4,1.0,0,58.6
B007RWD11Y,2025-12-22,8,4.375,1.0,0,83.375
B007RWD11Y,2025-12-29,6,4.5,1.0,0,93.66666666666667
B007RWD11Y,2026-01-05,7,2.7142857142857144,0.8571428571428571,0,79.71428571428571
B007RWD11Y,2026-01-12,2,3.0,1.0,0,65.5
B00FLQ4EE6,2025-06-02,2,4.0,1.0,0,56.5
B00FLQ4EE6,2025-06-09,5,4.8,1.0,3,100.0
B00FLQ4EE6,2025-06-16,3,5.0,1.0,4,89.0
B00FLQ4EE6,2025-06-23,10,4.6,1.0,13,110.0
B00FLQ4EE6,2025-06-30,3,5.0,1.0,2,66.33333333333333
B00FLQ4EE6,2025-07-07,5,4.8,0.8,4,119.6
B00FLQ4EE6,2025-07-14,3,4.333333333333333,1.0,3,97.0
B00FLQ4EE6,2025-07-21,1,5.0,1.0,1,207.0
B00FLQ4EE6,2025-07-28,4,2.75,1.0,3,172.75
B00FLQ4EE6,2025-08-04,5,2.6,1.0,5,78.6
B00FLQ4EE6,2025-08-11,7,4.714285714285714,1.0,5,63.714285714285715
B00FLQ4EE6,2025-08-18,1,4.0,1.0,1,468.0
B00FLQ4EE6,2025-08-25,3,3.6666666666666665,1.0,5,159.0
B00FLQ4EE6,2025-09-01,4,5.0,1.0,0,45.5
B00FLQ4EE6,2025-09-08,1,5.0,1.0,0,53.0
B00FLQ4EE6,2025-09-15,2,5.0,1.0,2,50.0
B00FLQ4EE6,2025-09-22,2,3.0,1.0,0,49.5
B00FLQ4EE6,2025-09-29,1,5.0,1.0,0,55.0
B00FLQ4EE6,2025-10-06,3,4.333333333333333,1.0,2,96.0
B00FLQ4EE6,2025-10-13,1,1.0,1.0,0,220.0
B00FLQ4EE6,2025-10-20,4,3.75,1.0,3,136.25
B00FLQ4EE6,2025-10-27,1,5.0,1.0,0,25.0
B00FLQ4EE6,2025-11-03,2,5.0,1.0,1,206.5
B00FLQ4EE6,2025-11-10,2,4.5,1.0,2,87.5
B00FLQ4EE6,2025-11-24,3,3.6666666666666665,0.6666666666666666,1,148.0
B00FLQ4EE6,2025-12-01,2,5.0,1.0,0,58.5
B00FLQ4EE6,2025-12-08,2,5.0,1.0,0,119.5
B00FLQ4EE6,2025-12-15,4,4.5,1.0,0,217.0
B00FLQ4EE6,2025-12-22,4,3.75,0.75,0,120.0
B00FLQ4EE6,2025-12-29,5,4.4,0.8,1,176.4
