review_id,aspect,sentiment,score,rating,sample_text
R1M8G5F5LYV4AM,quality,negative,-1.0,1, for it being so expensive it should be better quality
R1M8G5F5LYV4AM,value,negative,-1.0,1, for it being so expensive it should be better quality
R1M8G5F5LYV4AM,appearance,negative,-1.0,1, it doesn't even look navy like the picture
R1F983AK02L9R3,appearance,positive,1.0,5,"the knives are beautiful, and so is the stand"
R3K9GIYNF1WGV3,rust,negative,-1.0,1,about 5 knives from this set rusted within 2 years
R2AWEJOWTFHGNH,quality,negative,-1.0,3, not the best quality
R2AWEJOWTFHGNH,handle,negative,-1.0,3,the handles started splitting and falling apart within 2 years
R37C0XJPKYK3H5,quality,negative,-1.0,1, maybe you can get iron or something like that stronger material
R37C0XJPKYK3H5,durability,negative,-1.0,1, but today last knife did broke like pictures
R37C0XJPKYK3H5,handle,negative,-1.0,1, handle is plastic
R2ARCKA4FGUNKR,sharpness,negative,-1.0,1,knifes don’t retain an edge and get dull quickly
R2ARCKA4FGUNKR,durability,negative,-1.0,1," the plastic handles start cracking within months, had to throw a couple away due to the handle comi"
R2ARCKA4FGUNKR,handle,negative,-1.0,1," the plastic handles start cracking within months, had to throw a couple away due to the handle comi"
R3A4SW1KP2IZHJ,sharpness,positive,1.0,5,"absolutely love these knives, super sharp"
R3A4SW1KP2IZHJ,handle,positive,1.0,5, i purchased the white handled set and they look beautiful on counter
R3A4SW1KP2IZHJ,appearance,positive,1.0,5, i purchased the white handled set and they look beautiful on counter
R3C9MKPAD4BIF4,sharpness,neutral,0.0,3," the knives are sharp and beautiful and you have all the knives you need, however my disappointment "
R3C9MKPAD4BIF4,quality,neutral,0.0,3," the knives are sharp and beautiful and you have all the knives you need, however my disappointment "
R3C9MKPAD4BIF4,durability,neutral,0.0,3," we’ve had them for about a year and a half ago and the handles on the knives have cracked, and my s"
R3C9MKPAD4BIF4,handle,neutral,0.0,3," the knives are sharp and beautiful and you have all the knives you need, however my disappointment "
R3C9MKPAD4BIF4,appearance,neutral,0.0,3," the knives are sharp and beautiful and you have all the knives you need, however my disappointment "
R13ESHZGF36GVR,quality,neutral,0.0,3,most knifes are made well and have a good feel except for the steak knifes which look and feel cheap
R13ESHZGF36GVR,value,neutral,0.0,3,most knifes are made well and have a good feel except for the steak knifes which look and feel cheap
R13ESHZGF36GVR,appearance,neutral,0.0,3,most knifes are made well and have a good feel except for the steak knifes which look and feel cheap
R34VQAWR7CXM9H,handle,negative,-1.0,1, used the scissors once and then hand washed them and it immediately rusted
R34VQAWR7CXM9H,rust,negative,-1.0,1, used the scissors once and then hand washed them and it immediately rusted
R19HV4BBFBYB3,sharpness,negative,-1.0,2,looses sharpness fast
R19HV4BBFBYB3,quality,negative,-1.0,2, low quality
R2IJNB6Y7LF6TZ,sharpness,positive,1.0,4,"like this set, super sharp!"
RER0KXHBYW13X,sharpness,positive,1.0,5,the knives are sharp
RVM4FEBVF6Z35,sharpness,negative,-1.0,5," they do not rust and are easy to clean! they also stay sharp, we have not had to sharpen"
RVM4FEBVF6Z35,quality,negative,-1.0,5,the quality of these invites are great! they are not too big and bulky
RVM4FEBVF6Z35,rust,negative,-1.0,5," they do not rust and are easy to clean! they also stay sharp, we have not had to sharpen"
R1YRX4F9EMF7IL,sharpness,positive,1.0,5, comes with a knife sharpener so they never go dull!
R1YRX4F9EMF7IL,quality,positive,1.0,5,this knife set is very high quality for the cost
R1YRX4F9EMF7IL,value,positive,1.0,5,this knife set is very high quality for the cost
R1YRX4F9EMF7IL,appearance,positive,1.0,5, it also looks aesthetically pleasing on my kitchen counter
R209ZY7QKW3FWP,value,positive,1.0,5,worth the money
R25V4FR7SP00QA,sharpness,negative,-1.0,5,"sharp! first time using included trip to er, totally my bad"
R1UUTEVRQRRNXJ,durability,negative,-1.0,1, i don’t have a picture but the scissors it came with rusted and broke
R1UUTEVRQRRNXJ,rust,negative,-1.0,1, i don’t have a picture but the scissors it came with rusted and broke
RL967J3YFZZFA,rust,negative,-1.0,2, i put them in the dishwasher and they cracked and got all rusted
RL967J3YFZZFA,value,negative,-1.0,2,unfortunately they are not worth the price
R3N1JCMH2U9DXN,durability,negative,-1.0,1,"plastic handles , they are low end for the price you pay"
R3N1JCMH2U9DXN,handle,negative,-1.0,1,"plastic handles , they are low end for the price you pay"
R3N1JCMH2U9DXN,value,negative,-1.0,1,"plastic handles , they are low end for the price you pay"
R2LQ47F724UNCO,appearance,negative,-1.0,4, didn’t look like the color in the image
R2ALBRGAOAAFJN,sharpness,positive,1.0,5,"i have always been nervous about ordering knives online, but these surprised me! they are very sharp"
R2ALBRGAOAAFJN,durability,positive,1.0,5," they are very durable, and their balance from the blade to the handle is amazing"
R2ALBRGAOAAFJN,handle,positive,1.0,5," they are very durable, and their balance from the blade to the handle is amazing"
R2ALBRGAOAAFJN,balance,positive,1.0,5," they are very durable, and their balance from the blade to the handle is amazing"
R3LT68V3UCNIIC,handle,negative,-1.0,1,worst knives ever! the handles have all cracked making the knives unusable
R10DPJNT42B3HE,sharpness,positive,1.0,5, comes with scissors and knife sharpener tool
R10DPJNT42B3HE,quality,positive,1.0,5, this set us phenomenal and very good quality knives
R1OZOCUVC68RPC,sharpness,positive,1.0,5,"excellent knives, aesthetically beautiful and suer sharp"
R1OZOCUVC68RPC,appearance,positive,1.0,5,"excellent knives, aesthetically beautiful and suer sharp"
R1FKR2OZ4YWBV,sharpness,neutral,0.0,3," everything else is great, they are still very much super sharp & other handles are durable"
R1FKR2OZ4YWBV,durability,neutral,0.0,3,"not sure if there was a ""correct"" way of washing the scissors, but they broke within a year - the pa"
R1FKR2OZ4YWBV,handle,neutral,0.0,3," everything else is great, they are still very much super sharp & other handles are durable"
R3GMWWH8CQBIMT,sharpness,negative,-1.0,1, this causes the plastic handles to crack over time and eventually the blade breaks through the hand
R3GMWWH8CQBIMT,quality,negative,-1.0,1," the rest of the larger kitchen knives work fine, but the steak knives are cheaply made and will eve"
R3GMWWH8CQBIMT,durability,negative,-1.0,1, this causes the plastic handles to crack over time and eventually the blade breaks through the hand
R3GMWWH8CQBIMT,handle,negative,-1.0,1,5 inch steak knives do not have a tang that reaches the back of the handle
R3GMWWH8CQBIMT,value,negative,-1.0,1," the rest of the larger kitchen knives work fine, but the steak knives are cheaply made and will eve"
R2B3B4HWA9I7PC,quality,positive,1.0,4, it's decent quality i always wash them in the dishwasher and they do get clean but some of my most 
R2B3B4HWA9I7PC,rust,positive,1.0,4, it's decent quality i always wash them in the dishwasher and they do get clean but some of my most 
R2B3B4HWA9I7PC,value,positive,1.0,4, i'd say it's a good value for money spent
R2B3B4HWA9I7PC,appearance,positive,1.0,4,love this knife set it looks great
R3TPE5CLK1LVJM,durability,negative,-1.0,1,"total crap, plastic cracks and breaks"
R3NO769MWEVR5S,sharpness,neutral,0.0,3, i do keep them sharpened
R3NO769MWEVR5S,handle,neutral,0.0,3, they are lightweight and easy to grip
R3NO769MWEVR5S,rust,neutral,0.0,3,"i love the knifes however, done of them have rust spots on them"
R3NO769MWEVR5S,balance,neutral,0.0,3, they are lightweight and easy to grip
RDCU2R5TTFKHN,quality,negative,-1.0,1, they are having a quality control issue with the knives that are being shipped
RKTU0VD4Z2UZ1,sharpness,positive,1.0,5,these replaced our old dull set perfectly
R102ZT5D67QCI2,sharpness,negative,-1.0,1,my wife shook the knife after she rinsed it and the blade broke and landed about 2 inches away from 
R102ZT5D67QCI2,durability,negative,-1.0,1,my wife shook the knife after she rinsed it and the blade broke and landed about 2 inches away from 
