asin,title,brand,brand_norm,seller,seller_norm,price,price_num,original_price,original_price_num,list_price,unit_price,discount_amount,discount_rate,product_rating,product_rating_count,has_product_rating,bsr_rank,bsr_category,bsr_category_norm,best_subcat_rank,best_subcat_name,subcat_count,bullet_count,bullet_points_text,image_count,main_image,is_fba,has_aplus,first_available_dt,availability,in_stock_flag,stock_left,bought_count,bought_count_number,bought_count_number_clean,has_bought_count_raw,has_description,description_clean,created_at_dt,updated_at_dt,is_set,set_pieces,material,is_damascus,is_high_carbon,is_german_steel,is_japanese_steel,is_ceramic,knife_type,is_chef_knife,is_santoku,is_steak_knife,is_cleaver,is_paring,blade_size_inch,has_block,has_sheath,is_gift,is_professional,has_sharpener,brand_tier,brand_tier_encoded,log_price,log_reviews,log_sales,log_bsr,price_per_piece,log_price_per_piece,weighted_rating,days_on_market,log_days_on_market,bert_sentiment_mean,bert_sentiment_std,bert_confidence_mean,bert_confidence_std,bert_review_count,positive_ratio,neutral_ratio,negative_ratio,aspect_appearance_sentiment,aspect_balance_sentiment,aspect_durability_sentiment,aspect_handle_sentiment,aspect_quality_sentiment,aspect_rust_sentiment,aspect_sharpness_sentiment,aspect_value_sentiment,aspect_appearance_mentions,aspect_balance_mentions,aspect_durability_mentions,aspect_handle_mentions,aspect_quality_mentions,aspect_rust_mentions,aspect_sharpness_mentions,aspect_value_mentions,aspect_sentiment_mean,aspect_sentiment_std,aspect_count,nlp_review_count,nlp_rating_mean,nlp_rating_std,verified_purchase_rate,avg_helpful_votes,avg_review_length
B0DX6Q61D5,"HOSHANHO 7 Inch Nakiri Knife, Japanese High Carbon Powder Steel Vegetable Cleaver Knife for Chopping, Razor Sharp Multipurpose Asian Chef Knife with Ergonomic Handle",HOSHANHO,hoshanho,HSH-DE,hsh-de,$63.99,63.99,$49.99,49.99,,49.99,,0.2500468847678228,4.5,338,1,38628.0,Kitchen & Dining,kitchen & dining,,,0,5,"【High-carbon Durable Steel Blade】Combining cutting-edge nitrogen cold forging technology with the highest grade materials, our kitchen knives are crafted from high carbon powder steel, which greatly enhanced corrosion & rust resistance; Rated at 62 Rockwell hardness, these precision-forged, nitrogen-cooled blades provide maximum strength, flexibility, and edge durability 【Breathtaking Sharpness】Carefully designed and hand-sharpened, each nakiri knife has a razor-sharp 15-degree blade angle for clean, precise, cuts, & amazing edge-retention; Enjoying effortless slicing, dicing, and chopping, making every meal preparation a delight 【Comfortable Handle】Ergonomic design ensures perfect balance and a comfortable grip; High-quality smooth pakkawood handle has excellent resistance to fatigue, cramping, cold, heat, corrosion and moisture, ensuring long-lasting durability without the risk of chipping, cracking, breaking or scratching easily 【Precision & Versatility】HOSHANHO Nakiri Vegetable Cleaver is the ultimate tool for mastering your culinary art. Its unique design combines the precision of a chef's knife with the versatility of a cleaver, making it perfect for slicing, dicing, and chopping vegetables with expert finesse 【Perfect Gift for Any Occasion】Encased in a beautiful gift box, this sharp nakiri knife is the ideal present for any cooking enthusiast. Whether for a wedding, birthday, Christmas, housewarming, or anniversary, give the gift of ultimate culinary precision",10,https://m.media-amazon.com/images/G/01/HomeCustomProduct/imageBlock-360-thumbnail-icon-small._CB612115888_FMpng_RI_.png,1,1,,In Stock,1,,50+ bought,50,50.0,1,0,,2026-01-28 01:33:36,2026-01-28 09:33:36.400132,0,1,high_carbon,0,1,0,0,0,chef,1,0,0,1,0,7.0,0,False,0,0,False,other,0,4.174233411906258,5.82600010738045,3.9318256327243257,10.561758568708644,63.99,4.174233411906258,4.468594636697452,,0.0,0.6,,,,,0.8,,0.2,0.40588235294117647,0.3333333333333333,0.0,0.396011396011396,0.597165991902834,0.0,0.582258064516129,0.4545454545454546,,,,,,,,,0.3877414584856731,,,,,,0.9,0.1,
B0F6L7GRHZ,"PAUDIN Chef Knife, 10 Inch Meat Knife, Ultra Sharp Brisket Slicing Knives, High Carbon Stainless Steel Kitchen Knife with Ergonomic Handle for BBQ, Roast, Meats and Vegetables",PAUDIN,paudin,PaudinStore,paudinstore,$52.99,52.99,$89.99,89.99,89.99,,36.99999999999999,0.4111567951994666,4.5,45,1,83099.0,Kitchen & Dining,kitchen & dining,,,0,5,"Professional Chef's Knife:Command your kitchen with 10 inch chef knife.Its length provides superior leverage and efficiency for slicing large vegetables, carving roasts, dicing bulk ingredients, and tackling substantial meal prep with authority. Ultra Sharp Knife: Carving knife are made of 5Cr15MoV high carbon stainless steel and are hand polished to 14-16 degrees on each side to maximize the sharpness of the blade and cut meat with ease. Unique And Stylish Design: Elevate your kitchen with this brisket slicing knife featuring a waved pattern. This distinctive design offers both aesthetic appeal and functional benefits – its non-reflective, textured finish minimizes food sticking for smoother prep(not real damascus) Ergonomic wooden handle: The handle of this kitchen knife is designed with scientific ergonomics in mind, providing a comfortable grip. It also offers exceptional comfort, control, and flexibility during prolonged use. Perfect Present Choice : The meat knife has a blade that is special waved pattern is particularly striking and not only suitable for culinary artists, but also a thoughtful gift for men and women for Christmas, Father's Day and any other occasions.PAUDIN knife offer 24×7 customer service and lifetime warranty to our customers",10,https://m.media-amazon.com/images/G/01/HomeCustomProduct/imageBlock-360-thumbnail-icon-small._CB612115888_FMpng_RI_.png,1,1,,In Stock,1,,,0,,0,0,,2026-01-28 01:33:36,2026-01-28 09:33:36.400099,0,1,high_carbon,0,1,0,0,0,chef,1,0,0,1,0,10.0,0,False,0,0,False,other,0,3.9887988442301956,3.828641396489095,0.0,11.32779998084354,52.99,3.9887988442301956,4.3628271487934684,,0.0,0.6,,,,,0.8,,0.2,0.40588235294117647,0.3333333333333333,0.0,0.396011396011396,0.597165991902834,0.0,0.582258064516129,0.4545454545454546,,,,,,,,,0.3877414584856731,,,,,,0.9,0.1,
B09N6WQ84Q,PAUDIN Cleaver Knife + Chef Knife,PAUDIN,paudin,PaudinStore,paudinstore,$59.99,59.99,$109.98,109.98,109.98,,49.99,0.4545371885797418,3.8,2,1,,,,,,0,5,"【Multipurpose Cleaver Knife】: The cleaver is the best tool for disjointing cuts, carving thicker meat or hacking bones. At the same time, the classic 7"" cleaver can easily cope with daily kitchen needs, such as chopping, shredding, slicing, deboning, cutting meat, vegetables and fruits, and flattening garlic. 【HC Stainless Steel】: PAUDIN cleaver knife uses premium high-carbon German stainless steel to ensure excellent performance. The high carbon content makes the blade stronger and more durable, and has a longer-lasting sharp edge retention. (Because of the high carbon content, please wash and dry after use). 【Professional Chef's Knife】: This kitchen knife is suitable for cutting bread, vegetables, fillets or meats. This sharp knife is also suitable for home and professional use. Cutting like a master chef will bring you more joy in the kitchen! 【Multi-Functional Chef Knife】: This 8 inch chef knife can easily handle your daily kitchen tasks of chopping, slicing, mincing and dicing fruits, vegetables and several meat varieties including fish, chicken and beef. It truly is the all-around cooking knife! 【Ergonomically Wood Handle】: The blade of this chef knife is integrated with a soft and comfortable handle, creating the perfect grip. The ergonomic shape enables the right balance between the handle and the thin blade, ensuring ease of movement.",9,https://m.media-amazon.com/images/G/01/HomeCustomProduct/imageBlock-360-thumbnail-icon-small._CB612115888_FMpng_RI_.png,1,1,,In Stock,1,,,0,,0,0,,2026-01-28 01:33:36,2026-01-28 09:33:36.400065,0,1,stainless,0,0,0,0,0,chef,1,0,0,1,0,7.0,0,False,0,0,False,other,0,4.110709916308365,1.0986122886681098,0.0,0.0,59.99,4.110709916308365,4.196953680568902,,0.0,0.6,,,,,0.8,,0.2,0.40588235294117647,0.3333333333333333,0.0,0.396011396011396,0.597165991902834,0.0,0.582258064516129,0.4545454545454546,,,,,,,,,0.3877414584856731,,,,,,0.9,0.1,
B0DDQ21S4V,"PATIKIL ABS Knife Cover Sleeves for 6"" Kitchen Knife, 3 Pcs Knives Edge Guard Blade Protector Universal Knife Sheath for Home Kitchen, Black",PATIKIL,patikil,PATIKIL US,patikil us,$9.99,9.99,,,,,,0.2500468847678228,4.8,36,1,57113.0,Kitchen & Dining,kitchen & dining,76.0,"Knife Cases, Holders & Protectors",1,5,"Color: Black; Material: AB; Fit Knife Type: 6 Inch Kitchen Knife; Size: 165 x 45 mm / 6.4 x1.7 inch (L*W); Packing List: 3 Pcs x Knife Guards Advantage: The knife cover is made of durable ABS material, which is sturdy, wear-resistant, scratch-resistant, compact, portable, lightweight, and easy to clean.There is a soft velvet lining of the PU knife sheath to protect the blade from wear and tear. The three-side opening design is convenient for storage and easy access to your Knife quickly. Instruction: Slide the knife sleeve over the blade until it is fully covered and make sure the cover is snug and secure. Application: Our knife sheaths are great for storing your knives safely, protecting knives from damage, and keeping them clean and organized. Suitable for home and kitchen. Note: 1. Make sure to choose the right size of knife protective cover for your knife. 2. Clean and dry the knife before covering it with the sheath to prevent moisture buildup.",9,https://m.media-amazon.com/images/G/01/HomeCustomProduct/imageBlock-360-thumbnail-icon-small._CB612115888_FMpng_RI_.png,1,1,2024-08-20,Only 1 left in stock - order soon.,1,1.0,,0,,0,1,"Our knife sheaths are great for storing your knife safely, protecting the knife from damage, and keeping it clean and organized. Suitable for home and kitchen.SpecificationColor: BlackMaterial: ABSFit Knife Type: 6 Inch Kitchen KnifeSize: 165 x 45 mm / 6.4 x1.7 inch (L*W)Packing List: 3 Pcs x Knife GuardsAdvantageThe knife cover is made of durable ABS material, which is sturdy, wear-resistant, scratch-resistant, compact, portable, lightweight, and easy to clean.There is a soft velvet lining of the PU knife sheath to protect the blade from wear and tear.The three-side opening design is convenient for storage and easy access to your Knife quickly.InstructionSlide the knife sleeve over the blade until it is fully covered and make sure the cover is snug and secure.NOTE:1. Make sure to choose the right size of knife protective cover for your knife.2. Clean and dry the knife before covering it with the sheath to prevent moisture buildup.",2026-01-28 01:33:36,2026-01-28 09:33:36.400032,1,3,stainless,0,0,0,0,0,general,0,0,0,0,0,6.0,0,True,0,0,False,other,0,2.39698576841553,3.6109179126442243,0.0,10.95280454947936,3.33,1.4655675420143985,4.48546105057733,532.0,6.278521424165844,0.6,,,,,0.8,,0.2,0.40588235294117647,0.3333333333333333,0.0,0.396011396011396,0.597165991902834,0.0,0.582258064516129,0.4545454545454546,,,,,,,,,0.3877414584856731,,,,,,0.9,0.1,
B07SMN6GXB,Cuisinart Advantage 12-Piece Gray Knife Set with Blade Guards C55-12PCG,Cuisinart,cuisinart,Beach Camera Same Day Shipping,beach camera same day shipping,$29.95,29.95,$2.50,2.5,,2.5,,0.2500468847678228,4.6,521,1,118526.0,Kitchen & Dining,kitchen & dining,,,0,5,"High-quality stainless steel blades Premium ceramic coating Comfortable, non-slip, soft-grip handle Each knife comes with a matching blade guard Set Includes: (1) 8"" Chef Knife with Blade Guard (1) 8"" Slicing Knife with Blade Guard (1) 8"" Serrated Bread Knife with Blade Guard (1) 7"" Santoku Knife with Blade Guard (1) 6.5"" Utiltiy Knife with Blade Guard (1) 3.5"" Paring Knife with Blade Guard",10,https://m.media-amazon.com/images/G/01/HomeCustomProduct/imageBlock-360-thumbnail-icon-small._CB612115888_FMpng_RI_.png,1,1,,In Stock,1,,,0,,0,1,"Cuisinart Advantage professional-quality stainless steel knives each have a cutting-edge and ceramic coating. These premium knives come with blade guards and feature ergonomic handles.Product Features:High-quality stainless steel blades ceramiccoating Lifetime warranty from CuisinartIncludes:8"" Chef Knife8"" Slicing Knife8"" Serrated Bread Knife7"" Santoku Knife6.5"" Utility Knife3.5"" Paring KnifeGuards for all knives",2026-01-28 01:33:36,2026-01-28 09:33:36.399987,1,12,stainless,0,0,0,0,0,general,0,0,0,0,0,7.0,0,True,0,0,False,mid,2,3.432372999130605,6.257667587882639,0.0,11.682896061705152,2.495833333333333,1.2515717831252149,4.571342738801122,,0.0,0.6,,,,,0.8,,0.2,0.40588235294117647,0.3333333333333333,0.0,0.396011396011396,0.597165991902834,0.0,0.582258064516129,0.4545454545454546,,,,,,,,,0.3877414584856731,,,,,,0.9,0.1,
B0DS2HTK9N,"HOSHANHO 3 Pieces Knife Set, Ultra-Sharp Japanese Super Steel Kithen Knives Set, Professional Chef Knife Set with Ergonomic Wooden Handle & Gift Box",HOSHANHO,hoshanho,EVERSPARK,everspark,$79.99,79.99,$168.99,168.99,168.99,,89.00000000000001,0.5266583821527901,4.4,67,1,131754.0,Kitchen & Dining,kitchen & dining,,,0,5,"【Multifunctional Japanese Knife Set】HOSHANHO 3-piece kitchen knife set includes an 8-inch chef knife, a 7-inch santoku knife, and a 3.75-inch paring knife. Whether you're preparing meats, vegetables, delicate side dishes or fruits, the professional knife set can handle it all 【Japanese High Carbon Steel】Kitchen knives blades are crafted with Japanese 10Cr15CoMoV high-carbon stainless steel as the core, undergoing vacuum heat treatment to achieve an impressive hardness of HRC 62, ensuring outstanding durability, strength, sharpness, and corrosion resistance 【Exceptional Cutting Performance】HOSHANHO chef knife set is designed for precision cutting. Each knife features a fine-tuned V-shaped edge with a 15° double-bevel angle, delivering razor-sharp performance and effortless control for clean, accurate cuts every time 【Comfortable Red Sandalwood Handle】Japanese knives handles are made of red sandalwood that naturally resists cracking, warping, and moisture damage, ensuring long-lasting beauty and performance. The ergonomic design ensures superior grip, comfort, and maneuverability during use 【Good Choice & Gift Box】HOSHANHO knife set is ideal for slicing, dicing, chopping, and peeling, delivering professional-grade performance to handle all essential kitchen tasks. The perfect gift for home cooks and culinary enthusiasts",9,https://m.media-amazon.com/images/G/01/HomeCustomProduct/imageBlock-360-thumbnail-icon-small._CB612115888_FMpng_RI_.png,1,1,,In Stock,1,,,0,,0,0,,2026-01-28 01:33:36,2026-01-28 09:33:36.399959,1,3,stainless,0,0,0,0,0,chef,1,0,0,0,0,7.0,0,False,1,1,False,other,0,4.3943256902608985,4.219507705176107,0.0,11.788699416347637,26.66333333333333,3.3201078299422466,4.329045522431484,,0.0,0.6,,,,,0.8,,0.2,0.40588235294117647,0.3333333333333333,0.0,0.396011396011396,0.597165991902834,0.0,0.582258064516129,0.4545454545454546,,,,,,,,,0.3877414584856731,,,,,,0.9,0.1,
B0B295J4L2,"Knife Set, NANFANG BROTHERS 15-Piece Damascus Kitchen Knife Set with Block, ABS Ergonomic Handle for Chef Knife Set, Carving Fork, Disconnect-type Knife Block Set",NANFANG BROTHERS,nanfang brothers,KNIFE SET STORE,knife set store,$180.49,180.49,$189.99,189.99,189.99,,9.5,0.0500026317174588,4.5,341,1,185389.0,Kitchen & Dining,kitchen & dining,,,0,0,,10,https://m.media-amazon.com/images/G/01/HomeCustomProduct/imageBlock-360-thumbnail-icon-small._CB612115888_FMpng_RI_.png,0,1,,Only 2 left in stock - order soon.,1,2.0,,0,,0,0,,2026-01-28 01:33:36,2026-01-28 09:33:36.399926,1,15,damascus,1,0,0,0,0,chef,1,0,0,0,0,7.0,1,False,0,0,False,other,0,5.20120055576831,5.834810737062605,0.0,12.130216993226638,12.032666666666668,2.5674590261198182,4.468840631710266,,0.0,0.6,,,,,0.8,,0.2,0.40588235294117647,0.3333333333333333,0.0,0.396011396011396,0.597165991902834,0.0,0.582258064516129,0.4545454545454546,,,,,,,,,0.3877414584856731,,,,,,0.9,0.1,
B0FSTF4FSN,"PAUDIN Bread Knife 8"" + Bread Knife 10""",PAUDIN,paudin,,,$57.99,57.99,$119.98,119.98,119.98,,61.99,0.5166694449074846,0.0,0,0,,,,,,0,5,"🔪High-carbon Stainless Steel: Crafted with high quality stainless steel from Germany, our bread knife delivers exceptional durability and anti-corrosion performance. For efficient slicing bread from sourdough bread to pita to baguettes, also used for cutting biscuits, cakes, vegetables, and more. 🔪Superior Craftsmanship: Serrated bread knife crafted with German high-carbon steel with a Rockwell hardness of 56+ for lasting performance. The durable serrated edge maintains its sharpness over time, ensuring dependable performance. 🔪Ergonomic Design: Experience comfort in every slice. Our sourdough bread knife features an ergonomic handle designed for a secure grip and optimal control. Whether you're a professional chef or a home cook, enjoy the confidence that comes with a tool perfectly balanced for effortless slicing. 🔪Versatility Redefined: Beyond bread knife for homemade bread, this serrated knife is a versatile kitchen companion. From delicate cakes to hearty sandwiches, tackle a variety of culinary tasks with ease. The serrated blade's unique design makes it your go-to solution for all your cutting needs, making meal preparation a breeze. 🔪Exquisite Gift: Our bread knife is an indispensable kitchen companion that's easy to maintain. The stainless steel blade resists corrosion, rust, and stains, ensuring long-lasting durability. Its elegant gift packaging makes it an ideal present for birthdays, weddings, anniversaries, and Christmas.",9,https://m.media-amazon.com/images/G/01/HomeCustomProduct/imageBlock-360-thumbnail-icon-small._CB612115888_FMpng_RI_.png,1,1,,,0,,,0,,0,0,,2026-01-28 01:33:36,2026-01-28 09:33:36.399901,0,1,stainless,0,0,0,0,0,bread,0,0,0,0,0,8.0,0,False,0,0,False,other,0,4.077367938014984,0.0,0.0,0.0,57.99,4.077367938014984,4.215856236786469,,0.0,0.6,,,,,0.8,,0.2,0.40588235294117647,0.3333333333333333,0.0,0.396011396011396,0.597165991902834,0.0,0.582258064516129,0.4545454545454546,,,,,,,,,0.3877414584856731,,,,,,0.9,0.1,
B0F1XSJ9YS,"Knife Set, 15 Pcs Kitchen Knife Block Set, Enduring Razor-Sharp Japanese High Carbon Stainless Steel Chef Knife Set with Block and Sharpener, Premium Knives Set for Kitchen, Black Natural Wood",KnifeSaga,knifesaga,KnifeSaga Official,knifesaga official,$199.99,199.99,$259.99,259.99,259.99,,60.0,0.2307781068502634,4.7,560,1,18135.0,Kitchen & Dining,kitchen & dining,,,0,7,"Ultimate Kitchen Knife Set Investment: Engineered for superior edge retention and durability, Knifesaga block knife sets maintain razor-sharp precision with minimal maintenance, ensuring professional-level performance that stands the test of time. Lifetime Service and Assurance: KnifeSaga knives offer superior hardness and edge retention, staying sharp and corrosion-resistant for a lifetime of reliable use. We're confident in the quality of our knife set with block. That's why we offer a 100-day hassle-free return policy and lifetime assurance, presenting not just a knife set, but a lifelong culinary partnership. Confidence in Every Cut: KnifeSaga has developed an innovative steel with optimized structural composition and carbon content. Each blade features an incredibly sharp 10° cutting edge, ensuring every slice is smooth, swift, and precise. Forged to Last: Advanced cryogenic tempering and precision heat treatment ensure superior hardness, flexibility, and corrosion resistance. Full-tang construction guarantees durability without breakage. Everyday Dish and Elaborate Meal: Comes with 8"" chef knife, 8"" bread knife, 6"" boning knife, 7"" santoku knife, 5"" utility knife, 3.5"" paring knife, 6pcs 4.5"" steak knife set, a multi-purpose shear, a sharpening steel all housed in a solid wood block with non-slip bottom. Hand-wash recommended for premium-quality knives. A Precious Emotional Exchange: Knifesaga knife set represents a tribute to culinary skills and a love of food. Ideal gift for housewarmings, weddings, birthdays, Thanksgiving, and Christmas, it's a testament to your discerning taste and thoughtfulness for your beloved ones. Dancers at Your Fingertips: Ergonomically designed handles and a non-slip bolster provide exceptional comfort and control, assisting you in fully unleashing your culinary mastery.",10,https://m.media-amazon.com/images/G/01/HomeCustomProduct/imageBlock-360-thumbnail-icon-small._CB612115888_FMpng_RI_.png,1,1,,In Stock,1,,50+ bought,50,50.0,1,0,,2026-01-28 01:33:36,2026-01-28 09:33:36.399865,1,15,high_carbon,0,1,0,0,0,chef,1,0,0,0,0,7.0,1,False,0,0,True,other,0,5.30325515557766,6.329720905522696,3.9318256327243257,9.805654192187365,13.332666666666666,2.6625413143158463,4.666222528147893,,0.0,0.6,,,,,0.8,,0.2,0.40588235294117647,0.3333333333333333,0.0,0.396011396011396,0.597165991902834,0.0,0.582258064516129,0.4545454545454546,,,,,,,,,0.3877414584856731,,,,,,0.9,0.1,
B0FSZV7WYB,"PAUDIN Bread Knife 10"" + Santoku Knife 7""",PAUDIN,paudin,,,$27.74,27.74,$27.99,27.99,27.99,,0.25,0.0089317613433369,0.0,0,0,,,,,,0,5,"🔪Precision Slicing: Our 10-inch bread knife features a sharp serrated edge that effortlessly cuts through hard, crusty artisan bread or soft, delicate pastries. The Santoku knife easily slices, dices, and minces. Handle all ingredients with ease in daily cooking, elevating your culinary experience. 🔪 Redefining Versatility: This combination of bread knife and santoku knife effortlessly handles slicing bread, cakes, fruits, vegetables, or meats. It's the ideal solution for all your cutting needs, making meal prep a breeze. 🔪 Artisanal Craftsmanship: Forged from German high-carbon steel, the santoku and serrated bread knife boast a Rockwell hardness of 56+, ensuring lasting sharpness. The durable edge ensures reliable performance. 🔪 Ergonomic Pakkawood Handle: The blade seamlessly integrates with the soft, comfortable handle for a perfect grip. The ergonomic design achieves ideal balance between the handle and slim blade, ensuring effortless handling. 🔪The Perfect Gift: This set is not only an indispensable kitchen companion but also features easy maintenance. The stainless steel blades resist corrosion and rust stains. Presented in an elegant gift box, it makes an ideal present for birthdays, weddings, anniversaries, and Christmas.",9,https://m.media-amazon.com/images/G/01/HomeCustomProduct/imageBlock-360-thumbnail-icon-small._CB612115888_FMpng_RI_.png,1,1,,,0,,,0,,0,0,,2026-01-28 01:33:36,2026-01-28 09:33:36.399830,0,1,stainless,0,0,0,0,0,santoku,0,1,0,0,0,10.0,0,False,0,0,False,other,0,3.358289880650879,0.0,0.0,0.0,27.74,3.358289880650879,4.215856236786469,,0.0,0.6,,,,,0.8,,0.2,0.40588235294117647,0.3333333333333333,0.0,0.396011396011396,0.597165991902834,0.0,0.582258064516129,0.4545454545454546,,,,,,,,,0.3877414584856731,,,,,,0.9,0.1,
