review_id,asin,author,review_rating,review_date,review_date_dt,verified_purchase,helpful_votes,variant,variant_color,variant_style,variant_size,variant_number_of_items,review_text_raw,review_text_clean,has_text,text_len,exclamation_cnt,question_cnt,caps_ratio,text_hash,scraped_at,scraped_at_dt,bad_date_flag,rating_out_of_range_flag,brand,brand_norm,seller,seller_norm,price_num,list_price,unit_price,product_rating,product_rating_count,bsr_rank,bsr_category_norm,is_fba,has_aplus,image_count,bullet_count,best_subcat_rank,best_subcat_name,bought_count_number_clean
R1M8G5F5LYV4AM,B01ALYD1WI,erica,1,"December 30, 2025",2025-12-30,False,0,Color: Navy/White,Navy/White,,,,I got this as a gift for xmas so I can't return it.  I am not happy with it though.  The knives are fine.  The knife block is horrible.  It doesn't even look navy like the picture.  Also the block has blemishes on it.  For it being so expensive it should be better quality.,I got this as a gift for xmas so I can't return it. I am not happy with it though. The knives are fine. The knife block is horrible. It doesn't even look navy like the picture. Also the block has blemishes on it. For it being so expensive it should be better quality.,1,267,0,0,0.03902439024390244,517d6017d05719fb36f2093f152e8ce4,2026-01-16 02:53:51,2026-01-16 02:53:51,0,0,Cuisinart,cuisinart,always quality,always quality,89.95,129.95,,4.5,13019,2802.0,kitchen & dining,True,True,10,5,,,2000.0
RVYTW4ULTQ7IN,B01ALYD1WI,Camila Feroli,5,"November 20, 2025",2025-11-20,True,1,Color: White/ Charcoal Grey,White/ Charcoal Grey,,,,,,0,0,0,0,0.0,,2026-01-16 02:53:51,2026-01-16 02:53:51,0,0,Cuisinart,cuisinart,always quality,always quality,89.95,129.95,,4.5,13019,2802.0,kitchen & dining,True,True,10,5,,,2000.0
R35VGQU2ZVKPC1,B01ALYD1WI,Benjamin,1,"December 2, 2025",2025-12-02,True,0,Color: Black/Gray,Black/Gray,,,,Disappointing!,Disappointing!,1,14,1,0,0.07692307692307693,da004dda4b11fe647b0fe8b84f193388,2026-01-16 02:53:51,2026-01-16 02:53:51,0,0,Cuisinart,cuisinart,always quality,always quality,89.95,129.95,,4.5,13019,2802.0,kitchen & dining,True,True,10,5,,,2000.0
R1F983AK02L9R3,B01ALYD1WI,Arlene L.,5,"December 3, 2025",2025-12-03,True,1,Color: Black/Gray,Black/Gray,,,,"The knives are beautiful, and so is the stand.","The knives are beautiful, and so is the stand.",1,46,0,0,0.027777777777777776,8b8bec0b3a8e0b34e28ce08a31164eaf,2026-01-16 02:53:51,2026-01-16 02:53:51,0,0,Cuisinart,cuisinart,always quality,always quality,89.95,129.95,,4.5,13019,2802.0,kitchen & dining,True,True,10,5,,,2000.0
R3K9GIYNF1WGV3,B01ALYD1WI,cecelia henshaw,1,"December 3, 2025",2025-12-03,True,1,Color: White,White,,,,About 5 knives from this set rusted within 2 years.  I've had knives for decades that still have rusted!  I would not purchase again.,About 5 knives from this set rusted within 2 years. I've had knives for decades that still have rusted! I would not purchase again.,1,131,1,0,0.029411764705882353,0fd7dfbf7bf103cdfeef9dc8ef828229,2026-01-16 02:53:51,2026-01-16 02:53:51,0,0,Cuisinart,cuisinart,always quality,always quality,89.95,129.95,,4.5,13019,2802.0,kitchen & dining,True,True,10,5,,,2000.0
R1HQJCA5F41AIR,B01ALYD1WI,Timothy A Weissenborn,1,"December 6, 2025",2025-12-06,False,0,Color: White,White,,,,Garbage set. Stay away. Throwing away the remaining knifes that haven’t cracked completely but are on their way to match the ones already tossed.,Garbage set. Stay away. Throwing away the remaining knifes that haven’t cracked completely but are on their way to match the ones already tossed.,1,145,0,0,0.025423728813559324,b90534ce7900feb6221df175aef077ad,2026-01-16 02:53:51,2026-01-16 02:53:51,0,0,Cuisinart,cuisinart,always quality,always quality,89.95,129.95,,4.5,13019,2802.0,kitchen & dining,True,True,10,5,,,2000.0
R2AWEJOWTFHGNH,B01ALYD1WI,Evancook23,3,"December 8, 2025",2025-12-08,True,0,Color: White,White,,,,The handles started splitting and falling apart within 2 years. We don’t have a dishwasher they’ve only been cleaned by hand. Not the best quality.,The handles started splitting and falling apart within 2 years. We don’t have a dishwasher they’ve only been cleaned by hand. Not the best quality.,1,147,0,0,0.02564102564102564,389b7716483ce2f3e793901e13dbd516,2026-01-16 02:53:51,2026-01-16 02:53:51,0,0,Cuisinart,cuisinart,always quality,always quality,89.95,129.95,,4.5,13019,2802.0,kitchen & dining,True,True,10,5,,,2000.0
R37C0XJPKYK3H5,B01ALYD1WI,Rana,1,"December 15, 2025",2025-12-15,False,0,Color: White,White,,,,I was using for two years. But today last knife did broke like pictures. All knives where stay front gone in 2 years. Other big ones still good because we do not use often that much. Handle is plastic. Maybe you can get iron or something like that stronger material.,I was using for two years. But today last knife did broke like pictures. All knives where stay front gone in 2 years. Other big ones still good because we do not use often that much. Handle is plastic. Maybe you can get iron or something like that stronger material.,1,266,0,0,0.02857142857142857,feafa5850b4f73950ec652c6d5c20851,2026-01-16 02:53:51,2026-01-16 02:53:51,0,0,Cuisinart,cuisinart,always quality,always quality,89.95,129.95,,4.5,13019,2802.0,kitchen & dining,True,True,10,5,,,2000.0
R2ARCKA4FGUNKR,B01ALYD1WI,reed,1,"December 18, 2025",2025-12-18,False,0,Color: White,White,,,,"Knifes don’t retain an edge and get dull quickly. The plastic handles start cracking within months, had to throw a couple away due to the handle coming completely loose. Warranty is terrible also and only covers a broken blade not the handles.","Knifes don’t retain an edge and get dull quickly. The plastic handles start cracking within months, had to throw a couple away due to the handle coming completely loose. Warranty is terrible also and only covers a broken blade not the handles.",1,243,0,0,0.015228426395939087,d49a41abfe660b0787437fe18d57344c,2026-01-16 02:53:51,2026-01-16 02:53:51,0,0,Cuisinart,cuisinart,always quality,always quality,89.95,129.95,,4.5,13019,2802.0,kitchen & dining,True,True,10,5,,,2000.0
R3A4SW1KP2IZHJ,B01ALYD1WI,Laurie J Geier,5,"December 20, 2025",2025-12-20,True,1,Color: Natural/Grey,Natural/Grey,,,,"Absolutely love these knives, super sharp. I ordered these to replace a Chicago Cutlery knife set that was over 15 years old.Steak knives slice through steaks like butter!! Highly recommend these knives. I work in food service and know a great set of knives when I see them. This comes with the hook paring knife peeler, very hard to find within a set of knives. My daughter has used them when she has been here, and cant believe how sharp they are...slicing an onion with ease. I purchased the white handled set and they look beautiful on counter.","Absolutely love these knives, super sharp. I ordered these to replace a Chicago Cutlery knife set that was over 15 years old.Steak knives slice through steaks like butter!! Highly recommend these knives. I work in food service and know a great set of knives when I see them. This comes with the hook paring knife peeler, very hard to find within a set of knives. My daughter has used them when she has been here, and cant believe how sharp they are...slicing an onion with ease. I purchased the white handled set and they look beautiful on counter.",1,548,2,0,0.02534562211981567,6a7034df46608be506c4626d77b83b6d,2026-01-16 02:53:51,2026-01-16 02:53:51,0,0,Cuisinart,cuisinart,always quality,always quality,89.95,129.95,,4.5,13019,2802.0,kitchen & dining,True,True,10,5,,,2000.0
