asin,month,month_str,reviews_month_n,sales_month_sim,bought_count_cum_sim,bought_count_total_sim,bought_count_bucket_original,demand_score,q4_multiplier_base,price_num,product_rating,product_rating_count,bsr_rank,discount_rate,brand_norm,sim_variant
B0DX6Q61D5,2024-01-01,2024-01,0,0,0,53,50,0.5707309676135763,1.25,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0DX6Q61D5,2024-02-01,2024-02,0,0,0,53,50,0.5707309676135763,1.0,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0DX6Q61D5,2024-03-01,2024-03,0,0,0,53,50,0.5707309676135763,1.0,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0DX6Q61D5,2024-04-01,2024-04,0,0,0,53,50,0.5707309676135763,1.0,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0DX6Q61D5,2024-05-01,2024-05,0,0,0,53,50,0.5707309676135763,1.0,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0DX6Q61D5,2024-06-01,2024-06,0,0,0,53,50,0.5707309676135763,1.0,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0DX6Q61D5,2024-07-01,2024-07,0,0,0,53,50,0.5707309676135763,1.0,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0DX6Q61D5,2024-08-01,2024-08,0,0,0,53,50,0.5707309676135763,1.0,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0DX6Q61D5,2024-09-01,2024-09,0,0,0,53,50,0.5707309676135763,1.0,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0DX6Q61D5,2024-10-01,2024-10,0,1,1,53,50,0.5707309676135763,1.2,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0DX6Q61D5,2024-11-01,2024-11,0,1,2,53,50,0.5707309676135763,1.55,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0DX6Q61D5,2024-12-01,2024-12,0,1,3,53,50,0.5707309676135763,1.85,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0DX6Q61D5,2025-01-01,2025-01,0,1,4,53,50,0.5707309676135763,1.25,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0DX6Q61D5,2025-02-01,2025-02,0,1,5,53,50,0.5707309676135763,1.0,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0DX6Q61D5,2025-03-01,2025-03,0,1,6,53,50,0.5707309676135763,1.0,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0DX6Q61D5,2025-04-01,2025-04,0,1,7,53,50,0.5707309676135763,1.0,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0DX6Q61D5,2025-05-01,2025-05,0,2,9,53,50,0.5707309676135763,1.0,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0DX6Q61D5,2025-06-01,2025-06,0,2,11,53,50,0.5707309676135763,1.0,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0DX6Q61D5,2025-07-01,2025-07,0,3,14,53,50,0.5707309676135763,1.0,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0DX6Q61D5,2025-08-01,2025-08,0,2,16,53,50,0.5707309676135763,1.0,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0DX6Q61D5,2025-09-01,2025-09,0,2,18,53,50,0.5707309676135763,1.0,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0DX6Q61D5,2025-10-01,2025-10,0,2,20,53,50,0.5707309676135763,1.2,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0DX6Q61D5,2025-11-01,2025-11,0,6,26,53,50,0.5707309676135763,1.55,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0DX6Q61D5,2025-12-01,2025-12,0,16,42,53,50,0.5707309676135763,1.85,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0DX6Q61D5,2026-01-01,2026-01,0,11,53,53,50,0.5707309676135763,1.25,63.99,4.5,338,38628.0,0.0,hoshanho,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2024-01-01,2024-01,0,0,0,80,50,0.5415206283062267,1.25,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2024-02-01,2024-02,0,0,0,80,50,0.5415206283062267,1.0,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2024-03-01,2024-03,0,0,0,80,50,0.5415206283062267,1.0,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2024-04-01,2024-04,0,0,0,80,50,0.5415206283062267,1.0,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2024-05-01,2024-05,0,0,0,80,50,0.5415206283062267,1.0,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2024-06-01,2024-06,0,0,0,80,50,0.5415206283062267,1.0,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2024-07-01,2024-07,0,0,0,80,50,0.5415206283062267,1.0,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2024-08-01,2024-08,0,0,0,80,50,0.5415206283062267,1.0,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2024-09-01,2024-09,0,1,1,80,50,0.5415206283062267,1.0,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2024-10-01,2024-10,0,1,2,80,50,0.5415206283062267,1.2,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2024-11-01,2024-11,0,1,3,80,50,0.5415206283062267,1.55,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2024-12-01,2024-12,0,2,5,80,50,0.5415206283062267,1.85,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2025-01-01,2025-01,0,1,6,80,50,0.5415206283062267,1.25,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2025-02-01,2025-02,0,1,7,80,50,0.5415206283062267,1.0,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2025-03-01,2025-03,0,1,8,80,50,0.5415206283062267,1.0,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2025-04-01,2025-04,0,1,9,80,50,0.5415206283062267,1.0,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2025-05-01,2025-05,0,2,11,80,50,0.5415206283062267,1.0,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2025-06-01,2025-06,0,2,13,80,50,0.5415206283062267,1.0,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2025-07-01,2025-07,0,3,16,80,50,0.5415206283062267,1.0,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2025-08-01,2025-08,0,3,19,80,50,0.5415206283062267,1.0,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2025-09-01,2025-09,0,4,23,80,50,0.5415206283062267,1.0,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2025-10-01,2025-10,0,4,27,80,50,0.5415206283062267,1.2,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2025-11-01,2025-11,0,17,44,80,50,0.5415206283062267,1.55,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2025-12-01,2025-12,0,17,61,80,50,0.5415206283062267,1.85,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0F1XSJ9YS,2026-01-01,2026-01,0,19,80,80,50,0.5415206283062267,1.25,199.99,4.7,560,18135.0,0.2307781068502634,knifesaga,enh3_combined_featurecorr_q4
B0DG9Y57NY,2024-01-01,2024-01,0,0,0,416,400,0.5183352293050084,1.25,12.54,4.7,76,19582.0,0.7440293937538274,cuisinart,enh3_combined_featurecorr_q4
B0DG9Y57NY,2024-02-01,2024-02,0,1,1,416,400,0.5183352293050084,1.0,12.54,4.7,76,19582.0,0.7440293937538274,cuisinart,enh3_combined_featurecorr_q4
B0DG9Y57NY,2024-03-01,2024-03,0,1,2,416,400,0.5183352293050084,1.0,12.54,4.7,76,19582.0,0.7440293937538274,cuisinart,enh3_combined_featurecorr_q4
B0DG9Y57NY,2024-04-01,2024-04,0,2,4,416,400,0.5183352293050084,1.0,12.54,4.7,76,19582.0,0.7440293937538274,cuisinart,enh3_combined_featurecorr_q4
B0DG9Y57NY,2024-05-01,2024-05,0,1,5,416,400,0.5183352293050084,1.0,12.54,4.7,76,19582.0,0.7440293937538274,cuisinart,enh3_combined_featurecorr_q4
B0DG9Y57NY,2024-06-01,2024-06,0,1,6,416,400,0.5183352293050084,1.0,12.54,4.7,76,19582.0,0.7440293937538274,cuisinart,enh3_combined_featurecorr_q4
B0DG9Y57NY,2024-07-01,2024-07,0,1,7,416,400,0.5183352293050084,1.0,12.54,4.7,76,19582.0,0.7440293937538274,cuisinart,enh3_combined_featurecorr_q4
B0DG9Y57NY,2024-08-01,2024-08,0,1,8,416,400,0.5183352293050084,1.0,12.54,4.7,76,19582.0,0.7440293937538274,cuisinart,enh3_combined_featurecorr_q4
B0DG9Y57NY,2024-09-01,2024-09,0,2,10,416,400,0.5183352293050084,1.0,12.54,4.7,76,19582.0,0.7440293937538274,cuisinart,enh3_combined_featurecorr_q4
B0DG9Y57NY,2024-10-01,2024-10,0,2,12,416,400,0.5183352293050084,1.2,12.54,4.7,76,19582.0,0.7440293937538274,cuisinart,enh3_combined_featurecorr_q4
B0DG9Y57NY,2024-11-01,2024-11,0,6,18,416,400,0.5183352293050084,1.55,12.54,4.7,76,19582.0,0.7440293937538274,cuisinart,enh3_combined_featurecorr_q4
B0DG9Y57NY,2024-12-01,2024-12,0,8,26,416,400,0.5183352293050084,1.85,12.54,4.7,76,19582.0,0.7440293937538274,cuisinart,enh3_combined_featurecorr_q4
B0DG9Y57NY,2025-01-01,2025-01,0,8,34,416,400,0.5183352293050084,1.25,12.54,4.7,76,19582.0,0.7440293937538274,cuisinart,enh3_combined_featurecorr_q4
B0DG9Y57NY,2025-02-01,2025-02,0,6,40,416,400,0.5183352293050084,1.0,12.54,4.7,76,19582.0,0.7440293937538274,cuisinart,enh3_combined_featurecorr_q4
B0DG9Y57NY,2025-03-01,2025-03,0,5,45,416,400,0.5183352293050084,1.0,12.54,4.7,76,19582.0,0.7440293937538274,cuisinart,enh3_combined_featurecorr_q4
B0DG9Y57NY,2025-04-01,2025-04,0,6,51,416,400,0.5183352293050084,1.0,12.54,4.7,76,19582.0,0.7440293937538274,cuisinart,enh3_combined_featurecorr_q4
B0DG9Y57NY,2025-05-01,2025-05,0,13,64,416,400,0.5183352293050084,1.0,12.54,4.7,76,19582.0,0.7440293937538274,cuisinart,enh3_combined_featurecorr_q4
B0DG9Y57NY,2025-06-01,2025-06,0,20,84,416,400,0.5183352293050084,1.0,12.54,4.7,76,19582.0,0.7440293937538274,cuisinart,enh3_combined_featurecorr_q4
B0DG9Y57NY,2025-07-01,2025-07,0,18,102,416,400,0.5183352293050084,1.0,12.54,4.7,76,19582.0,0.7440293937538274,cuisinart,enh3_combined_featurecorr_q4
B0DG9Y57NY,2025-08-01,2025-08,0,17,119,416,400,0.5183352293050084,1.0,12.54,4.7,76,19582.0,0.7440293937538274,cuisinart,enh3_combined_featurecorr_q4
B0DG9Y57NY,2025-09-01,2025-09,0,14,133,416,400,0.5183352293050084,1.0,12.54,4.7,76,19582.0,0.7440293937538274,cuisinart,enh3_combined_featurecorr_q4
B0DG9Y57NY,2025-10-01,2025-10,0,23,156,416,400,0.5183352293050084,1.2,12.54,4.7,76,19582.0,0.7440293937538274,cuisinart,enh3_combined_featurecorr_q4
