asin,month,month_str,reviews_month_n,sales_month_sim,bought_count_cum_sim,demand_score,price_num,product_rating,product_rating_count,bsr_rank,discount_rate,brand_norm
B0DX6Q61D5,2023-01-01,2023-01,0,0,0,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2023-02-01,2023-02,0,0,0,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2023-03-01,2023-03,22,315,285,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2023-04-01,2023-04,18,404,437,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2023-05-01,2023-05,27,591,1274,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2023-06-01,2023-06,32,603,1707,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2023-07-01,2023-07,64,1345,5681,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2023-08-01,2023-08,47,1409,6408,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2023-09-01,2023-09,47,1814,10416,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2023-10-01,2023-10,81,1469,10537,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2023-11-01,2023-11,143,2014,16960,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2023-12-01,2023-12,61,2017,16375,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2024-01-01,2024-01,51,1447,13967,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2024-02-01,2024-02,57,1316,13648,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2024-03-01,2024-03,115,1758,23200,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2024-04-01,2024-04,33,878,11804,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2024-05-01,2024-05,75,1087,14930,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2024-06-01,2024-06,43,1570,21551,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2024-07-01,2024-07,88,1226,20003,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2024-08-01,2024-08,60,1150,20104,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2024-09-01,2024-09,78,1360,26029,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2024-10-01,2024-10,107,2486,45236,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2024-11-01,2024-11,99,1546,33897,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2024-12-01,2024-12,75,2279,47279,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2025-01-01,2025-01,44,1634,34480,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2025-02-01,2025-02,69,1549,34547,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2025-03-01,2025-03,102,1510,36381,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2025-04-01,2025-04,110,1764,47951,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2025-05-01,2025-05,79,1573,42821,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2025-06-01,2025-06,112,2093,57382,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2025-07-01,2025-07,46,1467,38305,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2025-08-01,2025-08,108,1625,43820,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2025-09-01,2025-09,110,1711,51352,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2025-10-01,2025-10,123,2129,69017,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2025-11-01,2025-11,63,1317,44259,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0DX6Q61D5,2025-12-01,2025-12,163,2233,69649,0.1004,63.99,4.5,338,38628,0.0,hoshanho
B0F1XSJ9YS,2023-01-01,2023-01,0,0,0,0.2077,199.99,4.7,560,18135,0.23,knifesaga
B0F1XSJ9YS,2023-02-01,2023-02,0,0,0,0.2077,199.99,4.7,560,18135,0.23,knifesaga
B0F1XSJ9YS,2023-03-01,2023-03,0,0,0,0.2077,199.99,4.7,560,18135,0.23,knifesaga
B0F1XSJ9YS,2023-04-01,2023-04,0,0,0,0.2077,199.99,4.7,560,18135,0.23,knifesaga
B0F1XSJ9YS,2023-05-01,2023-05,0,0,0,0.2077,199.99,4.7,560,18135,0.23,knifesaga
B0F1XSJ9YS,2023-06-01,2023-06,0,0,0,0.2077,199.99,4.7,560,18135,0.23,knifesaga
B0F1XSJ9YS,2023-07-01,2023-07,0,0,0,0.2077,199.99,4.7,560,18135,0.23,knifesaga
B0F1XSJ9YS,2023-08-01,2023-08,0,0,0,0.2077,199.99,4.7,560,18135,0.23,knifesaga
